,score,model,iter,topics
0,-1062.1055066627603,mmm,0,14
1,-1062.0978187516466,mmm,1,14
2,-1062.1597173449406,mmm,2,14
3,-1062.166304565258,mmm,3,14
4,-1062.1590715631585,mmm,4,14
5,-1062.1165583782144,mmm,5,14
6,-1062.1598123879105,mmm,6,14
7,-1062.1474252323578,mmm,7,14
8,-1062.143529464117,mmm,8,14
9,-1062.1611250190876,mmm,9,14
