,score,model,iter,topics
0,-738.140331062971,mmm,0,15
1,-809.8232765942785,mmm,1,15
2,-627.4429118348037,mmm,2,15
3,-769.2971213873825,mmm,3,15
4,-702.7613836781097,mmm,4,15
5,-686.9092746109538,mmm,5,15
6,-824.3215190021116,mmm,6,15
7,-884.4023729549281,mmm,7,15
8,-852.407681712806,mmm,8,15
9,-888.7529623746461,mmm,9,15
