,score,model,iter,topics
0,-1099.7743424940159,ctm,0,12.0
1,-1099.7741935139131,ctm,1,12.0
2,-1099.774434436469,ctm,2,12.0
3,-1099.774647906552,ctm,3,12.0
4,-1099.774220468344,ctm,4,12.0
5,-1099.7744102265276,ctm,5,12.0
6,-1099.7749455282067,ctm,6,12.0
7,-1099.7747464668678,ctm,7,12.0
8,-1099.774761697374,ctm,8,12.0
9,-1099.774021148268,ctm,9,12.0
