,score,model,iter,topics
0,-1039.8525046808188,lda,0,12
1,-1040.1140760256148,lda,1,12
2,-1040.77670511037,lda,2,12
3,-1040.2169091223764,lda,3,12
4,-1040.7569449079413,lda,4,12
5,-1040.1369316681998,lda,5,12
6,-1040.3815154669926,lda,6,12
7,-1040.7216773043021,lda,7,12
8,-1040.668549312984,lda,8,12
9,-1040.2271533958533,lda,9,12
