,score,model,iter,topics
0,-1099.7743347711673,ctm,0,12
1,-1098.7742462909644,ctm,1,12
2,-1097.7744741464567,ctm,2,12
3,-1096.7747623120968,ctm,3,12
4,-1095.7743167363337,ctm,4,12
5,-1094.7745291368035,ctm,5,12
6,-1093.7745928086488,ctm,6,12
7,-1092.7744551651142,ctm,7,12
8,-1091.7750745008473,ctm,8,12
9,-1090.7740715287268,ctm,9,12
