,score,model,iter,topics
0,-1061.7342824704817,lda,0,15
1,-1062.4781114052093,lda,1,15
2,-1061.3926771877761,lda,2,15
3,-1062.3534960398786,lda,3,15
4,-1062.1549892762139,lda,4,15
5,-1061.928576827872,lda,5,15
6,-1062.469895216891,lda,6,15
7,-1061.9953892907513,lda,7,15
8,-1061.9189114810933,lda,8,15
9,-1062.1554946276658,lda,9,15
