,PD11464,PD11465,PD11740,PD11741,PD11742,PD11743,PD11744,PD11745,PD11748,PD11750,PD11751,PD11752,PD11753,PD11755,PD11756,PD11757,PD11760,PD11761,PD11762,PD11765,PD11766,PD11767,PD11769,PD11816,PD11818,PD11819,PD13162,PD13163,PD13164,PD13165,PD13166,PD13167,PD13168,PD13296,PD13297,PD13298,PD13299,PD13302,PD13304,PD13306,PD13307,PD13310,PD13311,PD13312,PD13416,PD13418,PD13419,PD13420,PD13422,PD13424,PD13425,PD13426,PD13427,PD13428,PD13602,PD13603
0,50.0,229.0,36.0,57.0,117.0,57.0,41.0,42.0,232.0,105.0,264.0,135.0,119.0,48.0,33.0,30.0,86.0,53.0,29.0,30.0,11.0,18.0,22.0,59.0,28.0,30.0,42.0,65.0,46.0,135.0,31.0,29.0,30.0,317.0,136.0,171.0,117.0,74.0,27.0,31.0,59.0,30.0,81.0,30.0,33.0,55.0,12.0,21.0,38.0,74.0,220.0,32.0,23.0,44.0,96.0,32.0
1,30.0,172.0,31.0,34.0,100.0,51.0,28.0,45.0,178.0,92.0,207.0,97.0,82.0,41.0,16.0,24.0,53.0,41.0,29.0,31.0,24.0,9.0,18.0,42.0,26.0,16.0,27.0,64.0,31.0,84.0,14.0,20.0,29.0,291.0,125.0,113.0,96.0,64.0,22.0,28.0,51.0,25.0,62.0,26.0,29.0,45.0,14.0,29.0,29.0,63.0,190.0,42.0,14.0,41.0,85.0,29.0
2,2.0,26.0,10.0,9.0,10.0,7.0,4.0,6.0,12.0,18.0,36.0,14.0,11.0,9.0,2.0,6.0,5.0,10.0,3.0,6.0,3.0,4.0,4.0,7.0,7.0,5.0,12.0,12.0,5.0,13.0,8.0,5.0,5.0,52.0,20.0,19.0,20.0,9.0,4.0,4.0,5.0,6.0,18.0,8.0,4.0,11.0,4.0,4.0,8.0,8.0,32.0,7.0,2.0,11.0,16.0,6.0
3,19.0,178.0,13.0,28.0,104.0,40.0,19.0,40.0,227.0,103.0,214.0,90.0,75.0,42.0,20.0,28.0,53.0,29.0,13.0,14.0,15.0,11.0,15.0,49.0,19.0,21.0,37.0,41.0,33.0,100.0,18.0,29.0,21.0,277.0,106.0,116.0,77.0,53.0,18.0,22.0,41.0,17.0,62.0,15.0,21.0,42.0,7.0,32.0,22.0,57.0,177.0,16.0,12.0,33.0,64.0,30.0
4,48.0,167.0,23.0,44.0,113.0,49.0,32.0,52.0,230.0,129.0,254.0,144.0,64.0,50.0,19.0,24.0,96.0,27.0,20.0,15.0,16.0,6.0,22.0,40.0,14.0,24.0,32.0,44.0,40.0,134.0,36.0,24.0,26.0,318.0,125.0,115.0,116.0,58.0,23.0,22.0,36.0,19.0,86.0,22.0,11.0,57.0,13.0,23.0,27.0,50.0,261.0,33.0,22.0,35.0,108.0,41.0
5,15.0,158.0,23.0,21.0,119.0,39.0,12.0,43.0,215.0,103.0,235.0,78.0,75.0,35.0,12.0,22.0,42.0,17.0,13.0,17.0,13.0,4.0,23.0,36.0,19.0,17.0,31.0,39.0,22.0,79.0,20.0,24.0,18.0,291.0,120.0,106.0,104.0,42.0,9.0,15.0,35.0,12.0,69.0,12.0,13.0,46.0,7.0,21.0,19.0,46.0,191.0,22.0,7.0,27.0,45.0,26.0
6,7.0,34.0,13.0,4.0,20.0,6.0,4.0,6.0,32.0,20.0,32.0,30.0,17.0,5.0,6.0,10.0,13.0,5.0,5.0,8.0,2.0,1.0,5.0,4.0,6.0,7.0,8.0,12.0,5.0,18.0,11.0,9.0,3.0,65.0,23.0,20.0,22.0,12.0,3.0,5.0,5.0,8.0,20.0,4.0,3.0,10.0,4.0,1.0,3.0,12.0,53.0,9.0,4.0,14.0,10.0,6.0
7,29.0,203.0,26.0,24.0,101.0,45.0,25.0,65.0,207.0,131.0,235.0,117.0,67.0,26.0,14.0,31.0,74.0,29.0,16.0,17.0,14.0,9.0,15.0,27.0,13.0,15.0,34.0,48.0,32.0,68.0,34.0,17.0,33.0,272.0,134.0,88.0,110.0,67.0,20.0,17.0,43.0,18.0,79.0,21.0,20.0,35.0,11.0,12.0,19.0,51.0,223.0,22.0,17.0,26.0,75.0,36.0
8,44.0,174.0,30.0,51.0,82.0,51.0,29.0,42.0,155.0,68.0,133.0,155.0,91.0,37.0,26.0,18.0,140.0,27.0,18.0,26.0,25.0,16.0,19.0,58.0,22.0,19.0,25.0,38.0,50.0,139.0,28.0,23.0,49.0,175.0,90.0,146.0,68.0,69.0,13.0,17.0,42.0,18.0,53.0,20.0,29.0,48.0,14.0,27.0,47.0,61.0,218.0,27.0,18.0,49.0,101.0,43.0
9,14.0,106.0,23.0,18.0,66.0,32.0,12.0,24.0,108.0,51.0,142.0,69.0,64.0,23.0,7.0,23.0,36.0,17.0,9.0,12.0,17.0,14.0,12.0,26.0,19.0,14.0,17.0,23.0,19.0,59.0,14.0,18.0,24.0,183.0,95.0,84.0,67.0,35.0,7.0,13.0,27.0,15.0,51.0,18.0,16.0,41.0,4.0,15.0,14.0,36.0,129.0,24.0,4.0,25.0,73.0,25.0
