,PD14472,PD14473,PD17973,PD17981,PD17991,PD17994,PD18017,PD18020,PD18022,PD18024,PD18031,PD18037,PD18045,PD18046,PD18047,PD18048,PD18049,PD18050,PD18100,PD18101,PD18116,PD18149,PD18188,PD18189,PD18247,PD18251,PD18257,PD18258,PD18259,PD18264,PD18269,PD18728,PD18730,PD18733,PD18734,PD18748,PD18749,PD18751,PD18754,PD18756,PD18768,PD18769,PD18771,PD18775,PD18776,PD22036,PD22251,PD22355,PD22357,PD22358,PD22359,PD22360,PD22361,PD22362,PD22363,PD22364
0,39.0,29.0,57.0,120.0,14.0,13.0,33.0,235.0,29.0,209.0,51.0,77.0,133.0,53.0,50.0,68.0,38.0,46.0,32.0,12.0,22.0,48.0,32.0,72.0,24.0,49.0,58.0,25.0,118.0,24.0,28.0,34.0,9.0,53.0,90.0,39.0,22.0,27.0,26.0,30.0,43.0,29.0,25.0,24.0,29.0,18.0,21.0,188.0,68.0,90.0,28.0,123.0,52.0,36.0,170.0,14.0
1,30.0,15.0,27.0,103.0,14.0,15.0,26.0,240.0,19.0,183.0,34.0,61.0,95.0,36.0,26.0,46.0,43.0,37.0,22.0,12.0,19.0,28.0,34.0,61.0,16.0,41.0,28.0,16.0,126.0,31.0,17.0,20.0,11.0,51.0,68.0,36.0,20.0,35.0,19.0,17.0,37.0,11.0,18.0,19.0,24.0,13.0,13.0,178.0,51.0,101.0,19.0,138.0,36.0,24.0,204.0,18.0
2,2.0,3.0,6.0,8.0,5.0,3.0,6.0,25.0,2.0,33.0,12.0,13.0,22.0,1.0,10.0,25.0,3.0,12.0,3.0,1.0,2.0,3.0,8.0,7.0,1.0,11.0,10.0,6.0,13.0,3.0,5.0,3.0,2.0,7.0,9.0,7.0,2.0,7.0,2.0,6.0,6.0,6.0,2.0,1.0,2.0,2.0,5.0,27.0,7.0,25.0,7.0,21.0,1.0,4.0,33.0,3.0
3,23.0,14.0,26.0,66.0,10.0,4.0,17.0,274.0,9.0,169.0,28.0,52.0,74.0,28.0,24.0,39.0,22.0,34.0,15.0,7.0,15.0,22.0,21.0,53.0,15.0,36.0,39.0,14.0,113.0,19.0,10.0,21.0,11.0,32.0,61.0,24.0,8.0,33.0,21.0,23.0,37.0,7.0,22.0,10.0,14.0,13.0,13.0,203.0,53.0,86.0,18.0,146.0,29.0,24.0,186.0,11.0
4,31.0,18.0,49.0,118.0,12.0,11.0,27.0,274.0,12.0,221.0,31.0,77.0,128.0,33.0,29.0,62.0,25.0,41.0,17.0,15.0,19.0,24.0,34.0,63.0,30.0,59.0,42.0,13.0,134.0,41.0,19.0,13.0,9.0,31.0,50.0,28.0,28.0,27.0,24.0,22.0,33.0,24.0,17.0,18.0,20.0,13.0,12.0,187.0,61.0,95.0,24.0,146.0,33.0,29.0,168.0,13.0
5,15.0,12.0,17.0,37.0,9.0,12.0,25.0,245.0,15.0,188.0,22.0,49.0,107.0,32.0,23.0,64.0,25.0,31.0,6.0,6.0,7.0,20.0,19.0,43.0,19.0,26.0,30.0,7.0,127.0,16.0,12.0,13.0,6.0,24.0,52.0,13.0,8.0,16.0,8.0,9.0,18.0,12.0,10.0,14.0,9.0,5.0,13.0,178.0,39.0,97.0,14.0,139.0,30.0,14.0,152.0,14.0
6,5.0,6.0,7.0,21.0,2.0,2.0,4.0,50.0,2.0,34.0,10.0,25.0,23.0,10.0,4.0,24.0,6.0,15.0,4.0,1.0,5.0,3.0,6.0,11.0,3.0,7.0,4.0,0.0,18.0,4.0,4.0,5.0,1.0,10.0,11.0,4.0,7.0,12.0,5.0,9.0,2.0,7.0,2.0,1.0,3.0,2.0,1.0,22.0,5.0,14.0,6.0,14.0,7.0,3.0,28.0,2.0
7,10.0,21.0,30.0,79.0,10.0,8.0,19.0,270.0,20.0,158.0,29.0,61.0,109.0,36.0,17.0,44.0,20.0,29.0,16.0,11.0,17.0,26.0,28.0,51.0,21.0,50.0,42.0,10.0,113.0,17.0,13.0,14.0,7.0,33.0,48.0,23.0,11.0,18.0,17.0,11.0,23.0,15.0,14.0,7.0,14.0,14.0,14.0,221.0,48.0,93.0,10.0,140.0,35.0,15.0,189.0,15.0
8,31.0,16.0,95.0,173.0,11.0,10.0,22.0,164.0,22.0,164.0,34.0,114.0,111.0,32.0,39.0,52.0,40.0,50.0,38.0,5.0,16.0,34.0,24.0,74.0,24.0,29.0,57.0,19.0,75.0,26.0,18.0,24.0,8.0,54.0,90.0,33.0,18.0,43.0,25.0,29.0,22.0,15.0,19.0,8.0,17.0,20.0,21.0,139.0,58.0,59.0,25.0,95.0,55.0,28.0,112.0,17.0
9,17.0,11.0,23.0,78.0,9.0,14.0,14.0,144.0,12.0,120.0,25.0,43.0,67.0,22.0,21.0,38.0,31.0,22.0,20.0,13.0,14.0,30.0,16.0,40.0,16.0,28.0,21.0,4.0,76.0,21.0,10.0,12.0,4.0,23.0,39.0,18.0,13.0,14.0,9.0,6.0,31.0,12.0,15.0,15.0,12.0,10.0,11.0,122.0,30.0,73.0,12.0,72.0,22.0,11.0,121.0,13.0
10,7.0,4.0,12.0,11.0,3.0,2.0,8.0,13.0,2.0,14.0,6.0,7.0,11.0,4.0,8.0,15.0,9.0,11.0,2.0,6.0,3.0,9.0,3.0,12.0,3.0,6.0,8.0,4.0,5.0,5.0,1.0,4.0,4.0,7.0,17.0,5.0,5.0,11.0,5.0,4.0,5.0,2.0,3.0,5.0,3.0,2.0,3.0,22.0,6.0,9.0,7.0,5.0,9.0,7.0,23.0,6.0
11,21.0,12.0,35.0,120.0,6.0,8.0,28.0,157.0,9.0,131.0,14.0,67.0,73.0,23.0,19.0,38.0,16.0,38.0,14.0,5.0,13.0,21.0,17.0,63.0,9.0,24.0,36.0,18.0,70.0,23.0,13.0,12.0,3.0,33.0,38.0,13.0,18.0,30.0,24.0,19.0,21.0,9.0,11.0,9.0,10.0,5.0,6.0,144.0,34.0,55.0,17.0,105.0,34.0,27.0,108.0,18.0
12,36.0,19.0,47.0,173.0,17.0,17.0,36.0,343.0,28.0,185.0,68.0,86.0,528.0,56.0,37.0,69.0,59.0,58.0,44.0,14.0,20.0,36.0,26.0,115.0,231.0,58.0,70.0,22.0,82.0,146.0,16.0,19.0,40.0,62.0,105.0,43.0,110.0,30.0,49.0,28.0,51.0,64.0,31.0,21.0,23.0,16.0,21.0,122.0,156.0,120.0,30.0,130.0,138.0,37.0,143.0,47.0
13,48.0,18.0,37.0,121.0,19.0,15.0,35.0,246.0,13.0,197.0,51.0,73.0,272.0,52.0,38.0,69.0,49.0,56.0,29.0,8.0,16.0,48.0,24.0,67.0,110.0,49.0,45.0,18.0,113.0,83.0,20.0,34.0,27.0,54.0,79.0,52.0,64.0,26.0,45.0,23.0,51.0,39.0,19.0,20.0,27.0,13.0,20.0,126.0,86.0,118.0,24.0,110.0,60.0,36.0,153.0,33.0
14,4.0,6.0,10.0,23.0,4.0,10.0,6.0,24.0,4.0,17.0,13.0,17.0,45.0,16.0,4.0,16.0,10.0,10.0,4.0,3.0,4.0,8.0,1.0,12.0,27.0,15.0,11.0,1.0,9.0,23.0,1.0,6.0,6.0,6.0,16.0,11.0,13.0,6.0,7.0,6.0,7.0,9.0,7.0,7.0,9.0,2.0,5.0,18.0,19.0,14.0,5.0,6.0,21.0,7.0,20.0,4.0
15,47.0,23.0,116.0,232.0,25.0,23.0,38.0,353.0,37.0,258.0,55.0,169.0,341.0,57.0,49.0,72.0,57.0,40.0,44.0,20.0,15.0,49.0,39.0,178.0,163.0,74.0,111.0,25.0,130.0,136.0,16.0,29.0,24.0,89.0,156.0,65.0,62.0,36.0,83.0,44.0,53.0,38.0,31.0,20.0,38.0,29.0,20.0,187.0,163.0,107.0,34.0,184.0,113.0,59.0,149.0,43.0
16,15.0,15.0,10.0,27.0,8.0,7.0,14.0,267.0,15.0,175.0,20.0,38.0,111.0,20.0,16.0,44.0,15.0,22.0,9.0,5.0,14.0,25.0,22.0,21.0,31.0,40.0,28.0,10.0,73.0,22.0,11.0,10.0,9.0,21.0,22.0,19.0,29.0,12.0,6.0,11.0,20.0,29.0,13.0,8.0,12.0,8.0,9.0,118.0,46.0,118.0,9.0,147.0,27.0,9.0,130.0,10.0
17,12.0,4.0,9.0,25.0,8.0,8.0,7.0,127.0,7.0,118.0,22.0,30.0,79.0,14.0,10.0,24.0,17.0,14.0,7.0,3.0,10.0,12.0,8.0,21.0,16.0,26.0,19.0,6.0,35.0,8.0,6.0,3.0,4.0,19.0,15.0,7.0,4.0,6.0,4.0,7.0,17.0,15.0,7.0,2.0,9.0,4.0,11.0,74.0,26.0,54.0,11.0,72.0,18.0,9.0,64.0,7.0
18,5.0,4.0,3.0,3.0,2.0,2.0,8.0,51.0,5.0,49.0,6.0,13.0,15.0,2.0,1.0,25.0,7.0,8.0,3.0,1.0,1.0,3.0,2.0,13.0,6.0,5.0,4.0,3.0,12.0,2.0,1.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,6.0,1.0,36.0,9.0,22.0,1.0,32.0,7.0,2.0,53.0,4.0
19,16.0,8.0,10.0,32.0,8.0,9.0,16.0,270.0,13.0,183.0,24.0,32.0,121.0,18.0,20.0,46.0,24.0,25.0,7.0,3.0,9.0,16.0,21.0,32.0,37.0,42.0,19.0,10.0,75.0,16.0,12.0,12.0,12.0,19.0,38.0,16.0,13.0,12.0,12.0,9.0,25.0,17.0,13.0,6.0,5.0,9.0,11.0,110.0,47.0,98.0,11.0,130.0,23.0,13.0,148.0,10.0
20,8.0,4.0,3.0,21.0,4.0,2.0,10.0,167.0,7.0,120.0,13.0,32.0,97.0,11.0,8.0,30.0,19.0,19.0,14.0,2.0,6.0,7.0,15.0,16.0,36.0,27.0,14.0,8.0,61.0,21.0,9.0,5.0,8.0,15.0,19.0,5.0,13.0,9.0,7.0,10.0,18.0,8.0,4.0,6.0,6.0,3.0,7.0,111.0,40.0,71.0,11.0,91.0,13.0,12.0,117.0,3.0
21,5.0,9.0,7.0,15.0,5.0,12.0,15.0,147.0,8.0,122.0,10.0,20.0,63.0,25.0,17.0,35.0,15.0,16.0,2.0,7.0,6.0,16.0,10.0,24.0,15.0,29.0,10.0,10.0,48.0,13.0,5.0,9.0,2.0,8.0,8.0,8.0,9.0,7.0,10.0,7.0,15.0,6.0,9.0,3.0,4.0,6.0,6.0,94.0,34.0,54.0,14.0,70.0,13.0,7.0,79.0,5.0
22,2.0,3.0,7.0,8.0,2.0,0.0,26.0,44.0,6.0,67.0,13.0,20.0,39.0,6.0,7.0,34.0,12.0,9.0,0.0,2.0,2.0,5.0,4.0,13.0,8.0,6.0,3.0,3.0,12.0,3.0,3.0,5.0,6.0,10.0,9.0,4.0,7.0,2.0,6.0,4.0,6.0,10.0,3.0,3.0,5.0,5.0,3.0,32.0,15.0,18.0,12.0,28.0,7.0,5.0,50.0,3.0
23,14.0,13.0,9.0,34.0,3.0,6.0,14.0,246.0,10.0,179.0,21.0,33.0,128.0,25.0,10.0,34.0,24.0,22.0,8.0,5.0,11.0,28.0,19.0,29.0,47.0,45.0,16.0,9.0,72.0,25.0,10.0,12.0,10.0,14.0,25.0,11.0,25.0,15.0,6.0,9.0,16.0,20.0,15.0,7.0,9.0,4.0,8.0,140.0,60.0,94.0,9.0,132.0,39.0,14.0,115.0,15.0
24,6.0,6.0,1.0,13.0,6.0,1.0,4.0,93.0,4.0,70.0,8.0,20.0,57.0,10.0,4.0,16.0,8.0,12.0,5.0,4.0,8.0,14.0,4.0,10.0,13.0,20.0,10.0,4.0,23.0,6.0,5.0,6.0,5.0,10.0,13.0,2.0,4.0,4.0,3.0,3.0,8.0,13.0,10.0,4.0,3.0,2.0,5.0,56.0,9.0,49.0,5.0,64.0,14.0,10.0,51.0,6.0
25,5.0,6.0,3.0,11.0,3.0,6.0,6.0,98.0,6.0,69.0,14.0,18.0,52.0,14.0,9.0,23.0,11.0,8.0,5.0,2.0,7.0,15.0,5.0,16.0,8.0,19.0,4.0,1.0,27.0,7.0,11.0,5.0,4.0,10.0,6.0,3.0,9.0,8.0,9.0,1.0,13.0,13.0,8.0,5.0,6.0,4.0,2.0,47.0,20.0,30.0,3.0,57.0,9.0,5.0,49.0,5.0
26,3.0,1.0,0.0,0.0,0.0,2.0,1.0,21.0,1.0,21.0,1.0,7.0,11.0,1.0,1.0,15.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,9.0,1.0,2.0,2.0,0.0,8.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,5.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,0.0,18.0,2.0,7.0,2.0,14.0,2.0,2.0,22.0,2.0
27,13.0,4.0,2.0,19.0,8.0,2.0,8.0,162.0,4.0,151.0,13.0,15.0,69.0,11.0,14.0,25.0,10.0,16.0,2.0,3.0,3.0,9.0,6.0,14.0,12.0,22.0,11.0,2.0,43.0,14.0,5.0,8.0,10.0,11.0,18.0,9.0,10.0,4.0,6.0,5.0,8.0,6.0,5.0,7.0,4.0,5.0,4.0,106.0,22.0,71.0,10.0,111.0,22.0,3.0,84.0,13.0
28,49.0,27.0,11.0,146.0,8.0,35.0,23.0,1205.0,27.0,254.0,70.0,47.0,2831.0,46.0,26.0,70.0,85.0,88.0,9.0,8.0,27.0,30.0,16.0,108.0,1476.0,55.0,143.0,7.0,156.0,596.0,6.0,14.0,178.0,29.0,37.0,55.0,680.0,19.0,111.0,13.0,25.0,435.0,15.0,13.0,8.0,3.0,12.0,174.0,833.0,310.0,27.0,286.0,660.0,34.0,150.0,105.0
29,20.0,13.0,8.0,42.0,6.0,11.0,9.0,429.0,28.0,192.0,40.0,48.0,630.0,21.0,26.0,48.0,32.0,41.0,15.0,5.0,10.0,14.0,25.0,55.0,271.0,35.0,40.0,6.0,97.0,102.0,6.0,12.0,41.0,20.0,21.0,17.0,166.0,15.0,30.0,8.0,14.0,96.0,13.0,10.0,4.0,8.0,9.0,128.0,196.0,131.0,17.0,130.0,149.0,22.0,123.0,24.0
30,5.0,5.0,3.0,14.0,1.0,5.0,6.0,67.0,4.0,17.0,10.0,14.0,115.0,8.0,6.0,18.0,7.0,7.0,3.0,2.0,3.0,4.0,5.0,9.0,52.0,4.0,9.0,3.0,9.0,16.0,5.0,3.0,4.0,3.0,2.0,6.0,19.0,2.0,7.0,3.0,5.0,7.0,2.0,1.0,8.0,5.0,3.0,27.0,41.0,12.0,2.0,25.0,37.0,3.0,27.0,6.0
