,PD7219,PD7220,PD7221,PD7238,PD7240,PD7243,PD7248,PD7249,PD7250,PD7304,PD7305,PD7306,PD7307,PD7316,PD7321,PD7322,PD7341,PD7344,PD7426,PD7428,PD8609,PD8610,PD8611,PD8612,PD8614,PD8615,PD8617,PD8618,PD8619,PD8620,PD8621,PD8622,PD8623,PD8652,PD8660,PD8828,PD8830,PD8832,PD8964,PD8965,PD8969,PD8973,PD8977,PD8978,PD8979,PD8980,PD8981,PD8982,PD8984,PD8995,PD8996,PD8997,PD8998,PD8999,PD9000,PD9001
0,30.0,32.0,33.0,24.0,73.0,143.0,209.0,49.0,149.0,37.0,76.0,106.0,68.0,108.0,97.0,49.0,39.0,10.0,221.0,228.0,43.0,84.0,86.0,22.0,22.0,43.0,23.0,29.0,65.0,22.0,122.0,25.0,24.0,269.0,281.0,18.0,182.0,420.0,178.0,66.0,93.0,31.0,38.0,154.0,55.0,333.0,29.0,259.0,148.0,56.0,41.0,45.0,47.0,18.0,211.0,36.0
1,26.0,25.0,14.0,22.0,57.0,100.0,187.0,47.0,118.0,31.0,50.0,86.0,60.0,88.0,69.0,26.0,29.0,9.0,172.0,247.0,40.0,81.0,79.0,40.0,19.0,30.0,26.0,19.0,36.0,20.0,98.0,14.0,23.0,218.0,229.0,19.0,124.0,467.0,168.0,61.0,81.0,33.0,53.0,75.0,48.0,324.0,36.0,238.0,139.0,45.0,58.0,36.0,45.0,17.0,165.0,28.0
2,3.0,4.0,2.0,3.0,12.0,16.0,26.0,11.0,25.0,3.0,7.0,8.0,10.0,17.0,6.0,4.0,6.0,1.0,25.0,57.0,10.0,13.0,22.0,2.0,4.0,7.0,11.0,2.0,10.0,2.0,19.0,3.0,4.0,29.0,80.0,3.0,23.0,73.0,23.0,13.0,15.0,10.0,10.0,16.0,9.0,43.0,3.0,48.0,29.0,8.0,5.0,3.0,8.0,7.0,24.0,9.0
3,27.0,26.0,17.0,18.0,43.0,97.0,155.0,51.0,91.0,22.0,44.0,69.0,48.0,97.0,80.0,20.0,32.0,6.0,163.0,306.0,12.0,73.0,82.0,8.0,15.0,30.0,20.0,15.0,37.0,9.0,119.0,16.0,20.0,228.0,216.0,13.0,109.0,426.0,186.0,55.0,73.0,25.0,36.0,74.0,29.0,265.0,16.0,225.0,98.0,39.0,35.0,23.0,27.0,17.0,153.0,22.0
4,32.0,36.0,13.0,27.0,56.0,139.0,229.0,45.0,110.0,33.0,88.0,96.0,55.0,114.0,75.0,32.0,33.0,11.0,259.0,308.0,24.0,81.0,93.0,23.0,20.0,29.0,14.0,18.0,34.0,17.0,139.0,30.0,32.0,235.0,282.0,17.0,125.0,475.0,235.0,57.0,105.0,21.0,49.0,88.0,47.0,260.0,22.0,265.0,134.0,58.0,39.0,34.0,37.0,10.0,158.0,21.0
5,25.0,13.0,13.0,13.0,40.0,65.0,172.0,31.0,100.0,26.0,64.0,63.0,50.0,82.0,85.0,18.0,29.0,7.0,207.0,253.0,16.0,90.0,93.0,27.0,20.0,26.0,11.0,15.0,31.0,12.0,110.0,16.0,21.0,199.0,180.0,7.0,142.0,447.0,158.0,53.0,92.0,16.0,24.0,69.0,32.0,257.0,19.0,228.0,131.0,31.0,38.0,27.0,28.0,16.0,160.0,28.0
6,5.0,4.0,4.0,3.0,10.0,29.0,33.0,6.0,15.0,8.0,18.0,17.0,10.0,12.0,16.0,6.0,6.0,1.0,33.0,49.0,1.0,13.0,16.0,9.0,5.0,3.0,4.0,3.0,14.0,6.0,17.0,4.0,6.0,36.0,55.0,4.0,35.0,70.0,26.0,9.0,17.0,3.0,10.0,9.0,10.0,37.0,6.0,68.0,31.0,12.0,5.0,7.0,7.0,3.0,20.0,14.0
7,19.0,18.0,13.0,14.0,49.0,108.0,195.0,55.0,123.0,15.0,66.0,72.0,54.0,85.0,84.0,23.0,30.0,9.0,243.0,320.0,17.0,84.0,81.0,26.0,14.0,30.0,10.0,14.0,43.0,15.0,128.0,26.0,26.0,230.0,247.0,8.0,130.0,501.0,156.0,56.0,100.0,21.0,45.0,68.0,38.0,237.0,17.0,268.0,115.0,71.0,39.0,19.0,30.0,12.0,152.0,18.0
8,30.0,23.0,15.0,22.0,41.0,154.0,137.0,35.0,82.0,21.0,102.0,103.0,44.0,65.0,52.0,64.0,39.0,12.0,115.0,151.0,16.0,50.0,56.0,31.0,26.0,28.0,25.0,17.0,42.0,16.0,106.0,23.0,13.0,176.0,227.0,20.0,107.0,344.0,152.0,47.0,74.0,21.0,45.0,55.0,44.0,189.0,26.0,157.0,88.0,55.0,46.0,48.0,29.0,10.0,136.0,47.0
9,15.0,20.0,9.0,21.0,28.0,62.0,115.0,35.0,73.0,16.0,32.0,52.0,22.0,58.0,54.0,25.0,14.0,8.0,117.0,140.0,23.0,63.0,41.0,20.0,13.0,16.0,15.0,13.0,35.0,12.0,75.0,15.0,20.0,149.0,148.0,7.0,101.0,283.0,135.0,45.0,64.0,20.0,25.0,49.0,32.0,194.0,16.0,156.0,85.0,31.0,32.0,21.0,25.0,12.0,78.0,27.0
