,PD9002,PD9004,PD9009,PD9063,PD9064,PD9065,PD9067,PD9193,PD9464,PD9467,PD9539,PD9541,PD9544,PD9567,PD9568,PD9569,PD9570,PD9571,PD9572,PD9573,PD9574,PD9575,PD9576,PD9577,PD9578,PD9579,PD9581,PD9582c,PD9584,PD9585,PD9589,PD9591,PD9592,PD9593,PD9595,PD9597,PD9599,PD9600,PD9604,PD9605,PD9606,PD9694,PD9696,PD9702,PD9752,PD9754,PD9755,PD9756,PD9759,PD9760,PD9761,PD9842,PD9843,PD9844,PD9845,PD9847
71,130.0,125.0,67.0,23.0,131.0,9.0,7.0,8.0,44.0,15.0,24.0,17.0,12.0,27.0,290.0,21.0,11.0,57.0,20.0,12.0,11.0,89.0,198.0,19.0,10.0,19.0,22.0,21.0,26.0,101.0,10.0,9.0,99.0,9.0,89.0,9.0,35.0,18.0,247.0,27.0,11.0,11.0,75.0,81.0,24.0,14.0,14.0,21.0,20.0,39.0,10.0,30.0,14.0,4.0,34.0,16.0
72,112.0,79.0,45.0,31.0,118.0,10.0,16.0,10.0,26.0,17.0,29.0,22.0,13.0,25.0,203.0,26.0,9.0,40.0,37.0,17.0,8.0,60.0,150.0,24.0,11.0,17.0,17.0,18.0,34.0,62.0,13.0,13.0,65.0,25.0,86.0,7.0,37.0,17.0,844.0,30.0,13.0,12.0,41.0,56.0,25.0,12.0,22.0,27.0,25.0,42.0,25.0,37.0,29.0,3.0,34.0,30.0
73,63.0,54.0,34.0,15.0,71.0,8.0,9.0,11.0,29.0,9.0,15.0,13.0,8.0,16.0,150.0,8.0,10.0,29.0,22.0,5.0,5.0,30.0,109.0,12.0,10.0,13.0,13.0,11.0,15.0,67.0,13.0,9.0,37.0,7.0,124.0,6.0,25.0,11.0,202.0,19.0,13.0,12.0,42.0,28.0,12.0,12.0,5.0,10.0,13.0,19.0,14.0,26.0,4.0,3.0,21.0,17.0
74,89.0,64.0,35.0,11.0,83.0,18.0,10.0,4.0,27.0,16.0,23.0,16.0,6.0,24.0,155.0,15.0,9.0,30.0,26.0,14.0,13.0,52.0,139.0,10.0,10.0,8.0,15.0,10.0,22.0,58.0,6.0,9.0,54.0,20.0,63.0,5.0,24.0,13.0,408.0,28.0,14.0,14.0,33.0,56.0,18.0,21.0,11.0,14.0,15.0,24.0,6.0,19.0,18.0,4.0,30.0,13.0
75,105.0,82.0,63.0,33.0,111.0,24.0,17.0,11.0,42.0,25.0,24.0,35.0,13.0,31.0,236.0,24.0,17.0,45.0,34.0,18.0,19.0,75.0,201.0,16.0,11.0,27.0,32.0,19.0,45.0,89.0,10.0,19.0,55.0,16.0,75.0,18.0,46.0,19.0,503.0,36.0,16.0,10.0,55.0,65.0,30.0,10.0,11.0,25.0,20.0,36.0,23.0,42.0,30.0,5.0,45.0,28.0
76,92.0,101.0,74.0,28.0,141.0,12.0,17.0,23.0,46.0,35.0,29.0,25.0,20.0,36.0,314.0,37.0,12.0,70.0,53.0,20.0,24.0,145.0,218.0,13.0,11.0,22.0,17.0,20.0,39.0,79.0,13.0,13.0,105.0,23.0,98.0,5.0,32.0,30.0,398.0,33.0,14.0,16.0,50.0,79.0,19.0,14.0,17.0,23.0,26.0,35.0,18.0,38.0,18.0,5.0,39.0,40.0
77,98.0,99.0,63.0,23.0,110.0,16.0,13.0,12.0,39.0,11.0,30.0,25.0,10.0,22.0,217.0,18.0,13.0,44.0,34.0,12.0,15.0,76.0,197.0,8.0,7.0,14.0,16.0,19.0,30.0,108.0,11.0,13.0,105.0,13.0,114.0,5.0,34.0,23.0,174.0,30.0,6.0,15.0,58.0,68.0,30.0,13.0,9.0,27.0,9.0,32.0,7.0,35.0,17.0,5.0,34.0,21.0
78,72.0,51.0,34.0,16.0,65.0,14.0,17.0,9.0,30.0,16.0,17.0,23.0,12.0,16.0,113.0,19.0,4.0,24.0,22.0,17.0,7.0,88.0,104.0,15.0,18.0,11.0,11.0,4.0,14.0,45.0,6.0,9.0,50.0,14.0,52.0,4.0,18.0,18.0,179.0,13.0,8.0,14.0,25.0,41.0,18.0,19.0,10.0,18.0,13.0,34.0,9.0,28.0,13.0,4.0,18.0,16.0
79,132.0,122.0,83.0,43.0,126.0,25.0,16.0,14.0,64.0,26.0,36.0,35.0,17.0,55.0,272.0,20.0,14.0,79.0,62.0,14.0,27.0,131.0,262.0,38.0,15.0,24.0,23.0,22.0,33.0,112.0,19.0,17.0,110.0,23.0,102.0,10.0,50.0,27.0,335.0,43.0,20.0,18.0,67.0,105.0,37.0,33.0,20.0,21.0,22.0,44.0,19.0,50.0,35.0,4.0,38.0,41.0
80,57.0,47.0,26.0,13.0,54.0,6.0,3.0,7.0,16.0,10.0,10.0,7.0,3.0,15.0,192.0,12.0,4.0,26.0,17.0,3.0,5.0,63.0,92.0,8.0,1.0,5.0,16.0,10.0,18.0,52.0,4.0,4.0,44.0,3.0,63.0,1.0,9.0,6.0,13.0,17.0,4.0,4.0,25.0,49.0,15.0,4.0,8.0,6.0,14.0,13.0,3.0,15.0,10.0,0.0,14.0,16.0
81,18.0,25.0,12.0,3.0,22.0,4.0,9.0,2.0,12.0,6.0,10.0,4.0,0.0,9.0,71.0,7.0,1.0,13.0,4.0,5.0,2.0,26.0,42.0,1.0,6.0,6.0,4.0,5.0,3.0,21.0,3.0,8.0,25.0,6.0,12.0,2.0,5.0,5.0,17.0,10.0,2.0,3.0,19.0,24.0,3.0,2.0,8.0,3.0,3.0,5.0,4.0,12.0,4.0,0.0,7.0,7.0
82,44.0,66.0,23.0,9.0,81.0,6.0,3.0,5.0,16.0,10.0,10.0,12.0,2.0,17.0,186.0,7.0,1.0,34.0,12.0,5.0,6.0,22.0,150.0,5.0,4.0,4.0,5.0,4.0,16.0,54.0,7.0,1.0,50.0,4.0,64.0,5.0,6.0,3.0,25.0,7.0,5.0,6.0,47.0,51.0,14.0,7.0,3.0,8.0,4.0,17.0,6.0,8.0,8.0,0.0,7.0,9.0
83,67.0,56.0,44.0,20.0,50.0,5.0,5.0,6.0,14.0,12.0,18.0,10.0,8.0,10.0,161.0,14.0,6.0,32.0,11.0,7.0,10.0,68.0,90.0,9.0,9.0,11.0,3.0,15.0,14.0,48.0,10.0,10.0,75.0,3.0,61.0,4.0,12.0,9.0,34.0,13.0,4.0,5.0,32.0,64.0,14.0,8.0,3.0,12.0,12.0,24.0,10.0,17.0,15.0,5.0,8.0,6.0
84,26.0,40.0,22.0,7.0,37.0,2.0,4.0,3.0,9.0,2.0,8.0,6.0,2.0,9.0,111.0,5.0,2.0,25.0,9.0,4.0,4.0,21.0,59.0,4.0,4.0,4.0,5.0,9.0,9.0,25.0,3.0,2.0,22.0,3.0,38.0,1.0,7.0,7.0,18.0,2.0,0.0,2.0,15.0,29.0,4.0,5.0,4.0,6.0,6.0,10.0,2.0,10.0,1.0,1.0,11.0,3.0
85,29.0,40.0,18.0,6.0,54.0,8.0,5.0,5.0,16.0,12.0,8.0,5.0,3.0,15.0,147.0,6.0,4.0,24.0,6.0,7.0,3.0,23.0,72.0,5.0,2.0,5.0,3.0,4.0,8.0,30.0,6.0,3.0,44.0,5.0,45.0,5.0,9.0,8.0,41.0,7.0,5.0,0.0,25.0,32.0,7.0,6.0,3.0,13.0,9.0,12.0,3.0,10.0,6.0,2.0,13.0,14.0
86,45.0,74.0,30.0,9.0,91.0,7.0,6.0,5.0,16.0,7.0,16.0,2.0,5.0,12.0,231.0,9.0,4.0,39.0,10.0,12.0,10.0,39.0,156.0,3.0,2.0,4.0,10.0,19.0,7.0,71.0,7.0,5.0,82.0,3.0,75.0,6.0,10.0,7.0,63.0,10.0,3.0,10.0,45.0,79.0,9.0,10.0,5.0,10.0,12.0,18.0,7.0,11.0,6.0,3.0,9.0,8.0
87,144.0,85.0,146.0,11.0,75.0,10.0,8.0,6.0,31.0,7.0,13.0,13.0,7.0,29.0,288.0,18.0,3.0,59.0,17.0,8.0,10.0,107.0,151.0,9.0,10.0,11.0,12.0,23.0,16.0,59.0,8.0,8.0,84.0,4.0,96.0,7.0,23.0,12.0,67.0,22.0,7.0,9.0,33.0,66.0,10.0,19.0,6.0,10.0,10.0,26.0,5.0,27.0,9.0,2.0,13.0,15.0
88,20.0,35.0,20.0,7.0,39.0,0.0,2.0,3.0,7.0,3.0,3.0,4.0,1.0,2.0,91.0,0.0,3.0,15.0,8.0,0.0,3.0,14.0,47.0,1.0,2.0,1.0,6.0,3.0,6.0,25.0,2.0,1.0,24.0,1.0,30.0,3.0,5.0,8.0,8.0,7.0,4.0,6.0,16.0,23.0,3.0,1.0,2.0,4.0,2.0,10.0,2.0,6.0,1.0,3.0,6.0,3.0
89,18.0,22.0,15.0,3.0,19.0,1.0,1.0,3.0,4.0,0.0,4.0,3.0,1.0,6.0,49.0,1.0,2.0,9.0,5.0,0.0,1.0,18.0,36.0,2.0,2.0,2.0,0.0,0.0,4.0,11.0,2.0,3.0,15.0,1.0,39.0,1.0,2.0,2.0,9.0,3.0,2.0,0.0,9.0,14.0,5.0,3.0,2.0,4.0,1.0,10.0,2.0,4.0,5.0,0.0,3.0,4.0
90,26.0,51.0,17.0,7.0,69.0,1.0,3.0,2.0,15.0,6.0,7.0,6.0,3.0,6.0,118.0,4.0,0.0,27.0,4.0,3.0,5.0,17.0,100.0,6.0,0.0,1.0,1.0,10.0,6.0,32.0,2.0,2.0,44.0,5.0,59.0,2.0,7.0,4.0,14.0,6.0,1.0,2.0,31.0,39.0,2.0,1.0,2.0,6.0,5.0,11.0,4.0,10.0,3.0,0.0,1.0,5.0
91,53.0,58.0,38.0,10.0,52.0,4.0,2.0,5.0,20.0,7.0,8.0,2.0,7.0,9.0,144.0,3.0,1.0,20.0,9.0,2.0,5.0,38.0,96.0,4.0,5.0,1.0,3.0,11.0,16.0,45.0,5.0,3.0,42.0,1.0,102.0,1.0,12.0,9.0,33.0,7.0,5.0,2.0,22.0,43.0,11.0,6.0,9.0,7.0,6.0,15.0,5.0,13.0,8.0,3.0,11.0,6.0
92,46.0,56.0,45.0,15.0,82.0,4.0,8.0,8.0,18.0,7.0,12.0,11.0,7.0,21.0,239.0,7.0,1.0,36.0,19.0,7.0,6.0,63.0,117.0,3.0,8.0,12.0,7.0,14.0,16.0,59.0,6.0,3.0,52.0,2.0,83.0,2.0,15.0,6.0,18.0,15.0,7.0,3.0,42.0,49.0,14.0,9.0,4.0,10.0,10.0,14.0,4.0,19.0,12.0,1.0,14.0,10.0
93,31.0,51.0,28.0,6.0,43.0,8.0,4.0,4.0,16.0,9.0,7.0,9.0,3.0,9.0,117.0,6.0,2.0,30.0,8.0,8.0,10.0,26.0,79.0,5.0,4.0,3.0,3.0,6.0,17.0,34.0,7.0,7.0,49.0,9.0,41.0,4.0,10.0,6.0,16.0,8.0,5.0,6.0,19.0,34.0,8.0,8.0,7.0,7.0,5.0,18.0,4.0,13.0,7.0,1.0,11.0,14.0
94,57.0,78.0,40.0,8.0,93.0,11.0,12.0,4.0,25.0,5.0,14.0,13.0,5.0,16.0,183.0,6.0,6.0,39.0,20.0,4.0,5.0,34.0,151.0,7.0,8.0,9.0,8.0,12.0,8.0,59.0,4.0,7.0,70.0,7.0,71.0,3.0,9.0,14.0,38.0,11.0,3.0,6.0,44.0,58.0,16.0,7.0,9.0,13.0,10.0,30.0,13.0,17.0,14.0,2.0,14.0,11.0
95,121.0,118.0,98.0,27.0,118.0,15.0,8.0,14.0,41.0,28.0,36.0,14.0,13.0,32.0,395.0,31.0,6.0,89.0,26.0,11.0,10.0,120.0,197.0,16.0,15.0,15.0,11.0,35.0,33.0,79.0,16.0,12.0,97.0,12.0,126.0,18.0,34.0,23.0,79.0,38.0,12.0,14.0,69.0,109.0,28.0,20.0,10.0,25.0,27.0,49.0,23.0,48.0,29.0,8.0,35.0,33.0
