,PD9002,PD9004,PD9009,PD9063,PD9064,PD9065,PD9067,PD9193,PD9464,PD9467,PD9539,PD9541,PD9544,PD9567,PD9568,PD9569,PD9570,PD9571,PD9572,PD9573,PD9574,PD9575,PD9576,PD9577,PD9578,PD9579,PD9581,PD9582c,PD9584,PD9585,PD9589,PD9591,PD9592,PD9593,PD9595,PD9597,PD9599,PD9600,PD9604,PD9605,PD9606,PD9694,PD9696,PD9702,PD9752,PD9754,PD9755,PD9756,PD9759,PD9760,PD9761,PD9842,PD9843,PD9844,PD9845,PD9847
27,41.0,112.0,73.0,67.0,133.0,9.0,3.0,6.0,33.0,5.0,10.0,4.0,3.0,18.0,301.0,11.0,5.0,38.0,20.0,4.0,9.0,36.0,172.0,7.0,1.0,9.0,4.0,15.0,16.0,80.0,6.0,7.0,127.0,5.0,93.0,9.0,11.0,8.0,29.0,13.0,1.0,11.0,62.0,91.0,14.0,5.0,5.0,9.0,5.0,19.0,7.0,9.0,8.0,2.0,13.0,10.0
28,104.0,426.0,2504.0,6344.0,300.0,14.0,32.0,51.0,114.0,26.0,53.0,37.0,14.0,77.0,1106.0,21.0,19.0,71.0,290.0,11.0,8.0,154.0,322.0,14.0,6.0,31.0,13.0,55.0,29.0,343.0,15.0,9.0,211.0,11.0,162.0,263.0,94.0,20.0,91.0,29.0,9.0,13.0,241.0,348.0,93.0,14.0,11.0,323.0,11.0,223.0,7.0,40.0,7.0,2.0,55.0,8.0
29,81.0,202.0,522.0,1316.0,183.0,11.0,17.0,24.0,64.0,14.0,27.0,12.0,6.0,32.0,635.0,18.0,15.0,59.0,56.0,13.0,6.0,84.0,275.0,9.0,8.0,10.0,11.0,44.0,12.0,228.0,9.0,10.0,122.0,15.0,121.0,56.0,38.0,12.0,47.0,26.0,5.0,10.0,118.0,200.0,38.0,13.0,12.0,73.0,13.0,62.0,11.0,33.0,19.0,6.0,37.0,20.0
30,15.0,42.0,157.0,214.0,28.0,1.0,3.0,2.0,10.0,3.0,3.0,1.0,2.0,13.0,82.0,6.0,2.0,17.0,10.0,2.0,5.0,19.0,36.0,2.0,1.0,4.0,2.0,5.0,7.0,23.0,5.0,2.0,27.0,3.0,24.0,10.0,7.0,1.0,11.0,7.0,1.0,3.0,15.0,32.0,6.0,3.0,0.0,22.0,1.0,14.0,1.0,3.0,1.0,1.0,5.0,8.0
31,195.0,636.0,2626.0,8403.0,500.0,27.0,57.0,67.0,210.0,40.0,81.0,38.0,16.0,125.0,1998.0,49.0,37.0,153.0,439.0,18.0,14.0,312.0,587.0,22.0,15.0,40.0,21.0,94.0,49.0,586.0,26.0,13.0,379.0,29.0,272.0,350.0,122.0,35.0,141.0,67.0,13.0,31.0,338.0,565.0,168.0,26.0,26.0,458.0,39.0,277.0,33.0,81.0,22.0,3.0,92.0,25.0
32,153.0,153.0,115.0,287.0,227.0,30.0,23.0,31.0,116.0,44.0,45.0,47.0,35.0,47.0,491.0,48.0,28.0,88.0,51.0,44.0,27.0,121.0,329.0,39.0,27.0,35.0,42.0,40.0,54.0,168.0,34.0,22.0,151.0,37.0,183.0,34.0,52.0,33.0,151.0,70.0,34.0,45.0,90.0,110.0,62.0,27.0,40.0,37.0,50.0,92.0,37.0,93.0,43.0,8.0,62.0,45.0
33,89.0,86.0,37.0,96.0,103.0,19.0,19.0,16.0,56.0,40.0,31.0,29.0,10.0,39.0,243.0,18.0,19.0,54.0,43.0,21.0,19.0,73.0,160.0,30.0,18.0,22.0,25.0,23.0,36.0,75.0,12.0,10.0,68.0,23.0,90.0,22.0,53.0,25.0,84.0,46.0,19.0,26.0,42.0,70.0,48.0,26.0,33.0,24.0,28.0,47.0,32.0,52.0,33.0,7.0,41.0,28.0
34,190.0,144.0,176.0,204.0,219.0,119.0,86.0,84.0,168.0,198.0,366.0,232.0,84.0,191.0,475.0,123.0,90.0,151.0,114.0,138.0,101.0,153.0,275.0,71.0,50.0,80.0,87.0,196.0,161.0,233.0,81.0,82.0,162.0,86.0,196.0,75.0,219.0,110.0,415.0,160.0,93.0,152.0,112.0,128.0,206.0,130.0,91.0,89.0,133.0,228.0,130.0,152.0,80.0,23.0,89.0,101.0
35,121.0,150.0,48.0,111.0,212.0,23.0,28.0,13.0,83.0,50.0,48.0,34.0,29.0,54.0,457.0,34.0,14.0,79.0,48.0,28.0,19.0,72.0,309.0,25.0,21.0,18.0,20.0,29.0,44.0,156.0,11.0,18.0,140.0,21.0,174.0,17.0,45.0,21.0,81.0,42.0,12.0,24.0,79.0,101.0,42.0,24.0,33.0,29.0,30.0,59.0,24.0,41.0,46.0,7.0,37.0,23.0
36,148.0,139.0,127.0,587.0,143.0,41.0,18.0,22.0,108.0,45.0,47.0,37.0,25.0,58.0,359.0,30.0,24.0,70.0,64.0,16.0,23.0,88.0,195.0,30.0,20.0,32.0,34.0,47.0,65.0,141.0,25.0,24.0,109.0,32.0,110.0,36.0,52.0,30.0,82.0,55.0,17.0,45.0,67.0,100.0,62.0,42.0,48.0,63.0,46.0,79.0,51.0,58.0,42.0,14.0,61.0,37.0
37,104.0,243.0,80.0,150.0,115.0,30.0,22.0,28.0,102.0,34.0,45.0,33.0,21.0,39.0,274.0,39.0,23.0,50.0,45.0,27.0,23.0,74.0,156.0,33.0,13.0,17.0,30.0,38.0,51.0,105.0,26.0,27.0,63.0,37.0,100.0,32.0,52.0,27.0,73.0,69.0,18.0,29.0,40.0,72.0,44.0,28.0,32.0,36.0,49.0,57.0,44.0,60.0,43.0,12.0,64.0,36.0
38,120.0,100.0,154.0,240.0,179.0,72.0,57.0,54.0,122.0,113.0,198.0,147.0,72.0,134.0,314.0,90.0,57.0,89.0,92.0,61.0,80.0,100.0,201.0,59.0,38.0,53.0,50.0,109.0,75.0,122.0,52.0,49.0,115.0,53.0,146.0,50.0,122.0,67.0,246.0,123.0,45.0,82.0,54.0,80.0,136.0,76.0,58.0,94.0,76.0,163.0,85.0,80.0,64.0,14.0,88.0,56.0
39,136.0,260.0,97.0,282.0,258.0,38.0,25.0,32.0,96.0,54.0,76.0,54.0,25.0,70.0,515.0,35.0,24.0,90.0,69.0,32.0,41.0,87.0,343.0,36.0,21.0,20.0,31.0,47.0,51.0,237.0,29.0,25.0,140.0,25.0,171.0,35.0,65.0,44.0,90.0,56.0,34.0,38.0,74.0,114.0,62.0,32.0,49.0,56.0,61.0,78.0,48.0,67.0,44.0,17.0,64.0,39.0
40,119.0,113.0,107.0,283.0,140.0,26.0,18.0,32.0,88.0,41.0,48.0,30.0,26.0,51.0,351.0,36.0,11.0,52.0,46.0,25.0,26.0,69.0,190.0,29.0,21.0,24.0,21.0,36.0,53.0,127.0,24.0,25.0,114.0,32.0,115.0,30.0,37.0,44.0,121.0,37.0,22.0,32.0,61.0,74.0,63.0,33.0,31.0,38.0,33.0,76.0,47.0,82.0,35.0,13.0,72.0,49.0
41,82.0,92.0,75.0,130.0,108.0,35.0,27.0,25.0,74.0,31.0,51.0,38.0,21.0,38.0,248.0,43.0,21.0,45.0,40.0,37.0,29.0,82.0,178.0,20.0,19.0,24.0,25.0,43.0,44.0,105.0,20.0,20.0,78.0,33.0,112.0,12.0,51.0,23.0,194.0,58.0,30.0,33.0,37.0,71.0,51.0,32.0,31.0,31.0,47.0,55.0,34.0,70.0,45.0,8.0,68.0,40.0
42,157.0,114.0,168.0,177.0,158.0,63.0,50.0,46.0,104.0,130.0,249.0,178.0,59.0,107.0,299.0,81.0,59.0,103.0,93.0,121.0,81.0,125.0,201.0,59.0,44.0,58.0,74.0,138.0,100.0,145.0,47.0,62.0,108.0,63.0,203.0,61.0,148.0,87.0,396.0,131.0,76.0,108.0,80.0,96.0,165.0,104.0,92.0,70.0,94.0,142.0,125.0,100.0,80.0,14.0,75.0,74.0
43,101.0,91.0,68.0,128.0,143.0,29.0,24.0,26.0,78.0,32.0,53.0,37.0,26.0,42.0,316.0,37.0,21.0,55.0,43.0,27.0,31.0,75.0,208.0,23.0,18.0,27.0,34.0,22.0,40.0,107.0,21.0,22.0,85.0,23.0,128.0,18.0,54.0,36.0,133.0,48.0,12.0,28.0,56.0,80.0,55.0,24.0,34.0,32.0,34.0,47.0,35.0,53.0,41.0,9.0,53.0,32.0
44,232.0,343.0,1975.0,14895.0,302.0,141.0,98.0,44.0,274.0,104.0,94.0,145.0,56.0,150.0,999.0,42.0,127.0,87.0,195.0,32.0,43.0,192.0,271.0,35.0,31.0,54.0,32.0,108.0,86.0,275.0,81.0,44.0,145.0,40.0,173.0,604.0,148.0,35.0,135.0,90.0,28.0,36.0,150.0,161.0,195.0,50.0,70.0,675.0,86.0,337.0,80.0,79.0,42.0,14.0,163.0,44.0
45,172.0,176.0,416.0,2808.0,167.0,53.0,50.0,32.0,155.0,91.0,88.0,77.0,28.0,81.0,570.0,47.0,48.0,81.0,104.0,24.0,40.0,97.0,206.0,41.0,23.0,42.0,29.0,81.0,64.0,171.0,39.0,29.0,91.0,50.0,131.0,143.0,101.0,53.0,122.0,87.0,31.0,31.0,77.0,125.0,93.0,41.0,59.0,170.0,67.0,145.0,59.0,86.0,35.0,11.0,102.0,42.0
46,111.0,90.0,288.0,1587.0,93.0,64.0,61.0,42.0,79.0,75.0,160.0,93.0,32.0,88.0,225.0,53.0,50.0,68.0,99.0,53.0,51.0,93.0,143.0,45.0,31.0,38.0,37.0,61.0,77.0,90.0,41.0,36.0,61.0,42.0,93.0,127.0,100.0,43.0,155.0,89.0,28.0,52.0,57.0,64.0,92.0,49.0,51.0,157.0,63.0,118.0,61.0,75.0,31.0,10.0,71.0,40.0
47,203.0,280.0,942.0,6976.0,256.0,112.0,67.0,48.0,194.0,84.0,76.0,100.0,43.0,108.0,817.0,42.0,82.0,105.0,150.0,35.0,27.0,136.0,261.0,41.0,12.0,35.0,44.0,77.0,67.0,217.0,49.0,33.0,113.0,31.0,149.0,310.0,94.0,45.0,147.0,97.0,28.0,37.0,106.0,138.0,133.0,36.0,50.0,372.0,72.0,232.0,56.0,85.0,22.0,11.0,114.0,32.0
48,68.0,72.0,58.0,25.0,96.0,20.0,22.0,15.0,37.0,17.0,26.0,20.0,13.0,27.0,251.0,19.0,9.0,48.0,29.0,20.0,15.0,49.0,156.0,26.0,12.0,12.0,13.0,29.0,22.0,77.0,16.0,8.0,70.0,15.0,92.0,5.0,16.0,14.0,63.0,31.0,10.0,15.0,49.0,44.0,26.0,20.0,19.0,18.0,25.0,35.0,16.0,31.0,24.0,6.0,32.0,21.0
49,46.0,59.0,53.0,32.0,87.0,17.0,6.0,14.0,51.0,30.0,43.0,30.0,14.0,28.0,215.0,34.0,14.0,29.0,33.0,18.0,25.0,43.0,132.0,12.0,9.0,25.0,17.0,12.0,25.0,66.0,15.0,10.0,54.0,16.0,63.0,6.0,28.0,16.0,67.0,26.0,3.0,17.0,37.0,47.0,34.0,29.0,13.0,24.0,14.0,28.0,26.0,37.0,23.0,6.0,43.0,39.0
50,60.0,77.0,47.0,29.0,97.0,13.0,10.0,12.0,41.0,23.0,36.0,23.0,13.0,27.0,248.0,35.0,9.0,40.0,28.0,23.0,26.0,55.0,159.0,21.0,6.0,15.0,12.0,17.0,13.0,68.0,13.0,14.0,70.0,15.0,82.0,13.0,18.0,18.0,19.0,27.0,4.0,21.0,43.0,42.0,22.0,22.0,19.0,22.0,16.0,37.0,21.0,27.0,22.0,5.0,33.0,29.0
51,136.0,93.0,93.0,48.0,136.0,25.0,15.0,32.0,64.0,23.0,39.0,38.0,24.0,48.0,384.0,34.0,10.0,63.0,41.0,18.0,21.0,78.0,217.0,26.0,23.0,27.0,22.0,28.0,25.0,112.0,11.0,24.0,93.0,17.0,118.0,10.0,44.0,26.0,166.0,44.0,20.0,16.0,73.0,82.0,33.0,29.0,16.0,31.0,24.0,34.0,22.0,45.0,26.0,9.0,41.0,26.0
52,46.0,81.0,31.0,8.0,103.0,2.0,5.0,4.0,28.0,10.0,7.0,11.0,4.0,9.0,221.0,5.0,5.0,32.0,20.0,6.0,5.0,28.0,165.0,5.0,4.0,4.0,5.0,8.0,13.0,84.0,6.0,3.0,73.0,3.0,58.0,3.0,4.0,13.0,22.0,15.0,5.0,9.0,57.0,33.0,16.0,6.0,6.0,2.0,8.0,21.0,7.0,7.0,8.0,1.0,12.0,10.0
53,57.0,105.0,50.0,20.0,147.0,2.0,11.0,10.0,46.0,10.0,18.0,12.0,6.0,27.0,273.0,14.0,8.0,22.0,21.0,6.0,10.0,50.0,214.0,13.0,8.0,21.0,8.0,18.0,13.0,123.0,15.0,14.0,91.0,7.0,95.0,9.0,10.0,14.0,29.0,15.0,3.0,10.0,62.0,59.0,19.0,15.0,4.0,14.0,11.0,22.0,13.0,21.0,20.0,3.0,24.0,20.0
54,36.0,107.0,53.0,12.0,135.0,13.0,5.0,4.0,34.0,4.0,12.0,14.0,9.0,17.0,292.0,12.0,10.0,27.0,18.0,12.0,8.0,49.0,213.0,7.0,3.0,10.0,10.0,10.0,19.0,123.0,6.0,9.0,91.0,10.0,83.0,5.0,11.0,13.0,24.0,17.0,6.0,8.0,58.0,55.0,16.0,11.0,9.0,11.0,9.0,34.0,8.0,13.0,14.0,1.0,21.0,14.0
55,80.0,115.0,57.0,18.0,210.0,13.0,8.0,10.0,50.0,4.0,19.0,12.0,13.0,20.0,459.0,14.0,5.0,37.0,22.0,10.0,16.0,69.0,329.0,9.0,6.0,7.0,6.0,27.0,25.0,154.0,5.0,5.0,131.0,8.0,147.0,9.0,8.0,10.0,33.0,21.0,8.0,7.0,77.0,85.0,24.0,9.0,5.0,13.0,12.0,34.0,5.0,21.0,9.0,4.0,25.0,16.0
56,26.0,38.0,22.0,11.0,62.0,8.0,2.0,7.0,18.0,2.0,11.0,6.0,4.0,5.0,144.0,8.0,2.0,17.0,11.0,8.0,7.0,26.0,92.0,11.0,2.0,6.0,3.0,4.0,8.0,42.0,6.0,7.0,40.0,3.0,45.0,4.0,1.0,8.0,20.0,20.0,5.0,3.0,29.0,32.0,7.0,4.0,7.0,6.0,10.0,13.0,6.0,9.0,5.0,1.0,13.0,8.0
57,34.0,46.0,25.0,14.0,52.0,7.0,6.0,9.0,18.0,6.0,17.0,15.0,2.0,12.0,108.0,10.0,4.0,14.0,8.0,7.0,12.0,14.0,102.0,10.0,4.0,9.0,10.0,4.0,14.0,32.0,9.0,12.0,37.0,6.0,57.0,4.0,10.0,6.0,35.0,11.0,2.0,6.0,27.0,36.0,12.0,17.0,5.0,14.0,18.0,12.0,14.0,10.0,19.0,0.0,13.0,14.0
58,32.0,56.0,34.0,7.0,71.0,3.0,4.0,7.0,29.0,11.0,12.0,10.0,7.0,15.0,160.0,13.0,5.0,17.0,24.0,6.0,7.0,22.0,131.0,11.0,6.0,6.0,9.0,19.0,13.0,59.0,4.0,6.0,46.0,4.0,53.0,2.0,15.0,17.0,24.0,14.0,7.0,2.0,35.0,33.0,7.0,8.0,4.0,9.0,7.0,20.0,2.0,12.0,12.0,2.0,17.0,6.0
59,53.0,64.0,47.0,14.0,145.0,9.0,9.0,11.0,24.0,8.0,17.0,11.0,10.0,20.0,233.0,9.0,7.0,28.0,17.0,9.0,9.0,30.0,214.0,11.0,6.0,8.0,9.0,24.0,10.0,104.0,9.0,6.0,73.0,5.0,109.0,2.0,11.0,13.0,37.0,22.0,4.0,9.0,51.0,60.0,25.0,11.0,13.0,9.0,8.0,27.0,5.0,10.0,12.0,3.0,15.0,19.0
60,140.0,118.0,94.0,35.0,146.0,23.0,30.0,24.0,58.0,30.0,34.0,19.0,39.0,54.0,332.0,24.0,16.0,66.0,57.0,16.0,13.0,107.0,188.0,16.0,27.0,17.0,28.0,38.0,34.0,95.0,18.0,18.0,88.0,20.0,95.0,26.0,31.0,65.0,102.0,63.0,11.0,13.0,56.0,103.0,48.0,24.0,10.0,35.0,36.0,34.0,24.0,49.0,18.0,5.0,34.0,26.0
