,PD22365,PD22366,PD23550,PD23554,PD23558,PD23559,PD23560,PD23561,PD23562,PD23563,PD23564,PD23565,PD23566,PD23567,PD23569,PD23570,PD23574,PD23577,PD23578,PD23579,PD24182,PD24186,PD24189,PD24190,PD24191,PD24192,PD24193,PD24194,PD24195,PD24196,PD24197,PD24199,PD24200,PD24201,PD24202,PD24204,PD24205,PD24206,PD24207,PD24208,PD24209,PD24212,PD24214,PD24215,PD24216,PD24217,PD24218,PD24219,PD24220,PD24221,PD24223,PD24224,PD24225,PD24302,PD24303,PD24304
0,49.0,140.0,38.0,123.0,197.0,94.0,37.0,113.0,120.0,187.0,148.0,57.0,146.0,170.0,15.0,13.0,208.0,84.0,166.0,296.0,117.0,119.0,68.0,165.0,123.0,280.0,31.0,58.0,32.0,46.0,439.0,46.0,26.0,365.0,133.0,52.0,219.0,62.0,37.0,26.0,73.0,250.0,60.0,123.0,84.0,33.0,39.0,63.0,46.0,51.0,36.0,29.0,22.0,9.0,77.0,184.0
1,39.0,106.0,33.0,122.0,183.0,84.0,45.0,132.0,108.0,177.0,211.0,69.0,137.0,159.0,12.0,13.0,195.0,55.0,145.0,314.0,115.0,121.0,68.0,133.0,109.0,281.0,40.0,56.0,29.0,42.0,530.0,29.0,20.0,310.0,113.0,36.0,152.0,62.0,31.0,22.0,72.0,226.0,44.0,81.0,59.0,32.0,45.0,29.0,28.0,28.0,41.0,27.0,21.0,15.0,49.0,151.0
2,10.0,20.0,2.0,19.0,29.0,23.0,3.0,17.0,18.0,22.0,21.0,15.0,27.0,16.0,4.0,5.0,31.0,14.0,18.0,35.0,14.0,23.0,17.0,25.0,9.0,32.0,3.0,6.0,6.0,13.0,82.0,9.0,2.0,56.0,28.0,15.0,13.0,12.0,5.0,1.0,10.0,25.0,7.0,11.0,7.0,6.0,7.0,8.0,5.0,2.0,3.0,5.0,4.0,3.0,9.0,22.0
3,23.0,139.0,21.0,141.0,147.0,70.0,35.0,193.0,100.0,180.0,226.0,56.0,120.0,124.0,11.0,17.0,216.0,56.0,120.0,439.0,110.0,136.0,88.0,143.0,87.0,246.0,61.0,46.0,21.0,28.0,491.0,36.0,17.0,335.0,125.0,18.0,162.0,44.0,22.0,19.0,62.0,165.0,38.0,104.0,64.0,26.0,29.0,31.0,27.0,25.0,23.0,29.0,18.0,11.0,72.0,168.0
4,29.0,160.0,26.0,136.0,206.0,73.0,38.0,197.0,122.0,176.0,377.0,74.0,148.0,152.0,16.0,15.0,204.0,59.0,148.0,1079.0,130.0,142.0,258.0,169.0,108.0,310.0,70.0,66.0,22.0,53.0,399.0,36.0,14.0,380.0,119.0,39.0,175.0,55.0,40.0,27.0,78.0,171.0,77.0,126.0,63.0,53.0,28.0,33.0,43.0,46.0,32.0,29.0,21.0,6.0,76.0,145.0
5,25.0,143.0,17.0,131.0,163.0,71.0,38.0,217.0,102.0,140.0,1090.0,43.0,116.0,130.0,9.0,9.0,160.0,48.0,133.0,1700.0,108.0,106.0,451.0,97.0,68.0,267.0,144.0,47.0,21.0,28.0,403.0,29.0,15.0,345.0,129.0,25.0,131.0,36.0,14.0,29.0,80.0,160.0,25.0,84.0,42.0,15.0,11.0,25.0,29.0,34.0,24.0,21.0,11.0,11.0,57.0,110.0
6,2.0,18.0,6.0,24.0,26.0,14.0,5.0,68.0,16.0,36.0,194.0,5.0,16.0,23.0,4.0,3.0,27.0,11.0,12.0,438.0,13.0,14.0,131.0,23.0,10.0,33.0,39.0,8.0,6.0,5.0,62.0,6.0,2.0,66.0,16.0,13.0,15.0,7.0,1.0,4.0,7.0,16.0,5.0,17.0,11.0,9.0,5.0,7.0,9.0,5.0,14.0,7.0,2.0,4.0,9.0,14.0
7,24.0,132.0,27.0,138.0,164.0,52.0,19.0,444.0,118.0,182.0,2238.0,60.0,119.0,102.0,13.0,12.0,197.0,53.0,132.0,4688.0,119.0,120.0,1078.0,114.0,72.0,262.0,402.0,40.0,29.0,36.0,434.0,29.0,15.0,385.0,114.0,22.0,137.0,34.0,24.0,28.0,74.0,163.0,47.0,86.0,60.0,28.0,22.0,29.0,49.0,30.0,24.0,30.0,12.0,4.0,70.0,155.0
8,27.0,111.0,31.0,81.0,115.0,60.0,37.0,104.0,68.0,108.0,129.0,41.0,79.0,107.0,9.0,18.0,123.0,50.0,95.0,295.0,76.0,85.0,66.0,144.0,60.0,125.0,18.0,44.0,38.0,33.0,251.0,30.0,10.0,211.0,77.0,63.0,127.0,64.0,24.0,25.0,54.0,124.0,79.0,84.0,49.0,24.0,31.0,45.0,38.0,44.0,30.0,22.0,28.0,12.0,50.0,109.0
9,12.0,80.0,20.0,64.0,146.0,41.0,23.0,132.0,60.0,116.0,208.0,37.0,61.0,73.0,9.0,12.0,128.0,42.0,83.0,269.0,64.0,61.0,85.0,87.0,62.0,179.0,31.0,25.0,16.0,15.0,238.0,19.0,12.0,190.0,86.0,22.0,119.0,33.0,20.0,18.0,48.0,132.0,24.0,59.0,45.0,21.0,15.0,15.0,18.0,12.0,7.0,18.0,13.0,10.0,20.0,61.0
