"","1","2","3","4","5","6","7","8","9","10","11","12"
"PD10010",0.0605266693537552,0.0456133279591563,0.0919656052666935,0.0609297326346903,0.0548837834206637,0.0947870482332393,0.114134085718124,0.0947870482332393,0.0302969232836222,0.184670159881768,0.105266693537552,0.0621389224774956
"PD10011",0.0556556917407674,0.107686453576865,0.029219738844829,0.109488904910679,0.0186453576864536,0.0212889529760474,0.232295922454538,0.0298205559561003,0.119582632380037,0.210786669871025,0.0345069294240167,0.031022190178643
"PD10014",0.0760711841204654,0.25315537303217,0.0249007529089665,0.0888021902806297,0.0239151266255989,0.0664613278576318,0.06580424366872,0.096933607118412,0.0397672826830938,0.176030116358658,0.0420670773442847,0.0460917180013689
"PD11326",0.045894468554109,0.259781635324103,0.0270889302197424,0.0638733898188331,0.0364916993869257,0.0612902114762003,0.0648033340221809,0.0886719019081077,0.0292588000275539,0.174950058552042,0.050544189570848,0.0973513811393539
"PD11327",0.0832092962527745,0.227745136440789,0.0110588849719284,0.0398093745919833,0.0232798015406711,0.100600600600601,0.0796056926491709,0.0828959394176786,0.0295469382425904,0.23542237890064,0.024219872045959,0.0626060843452148
"PD11336",0.0443951493640935,0.0971014492753623,0.127447500739426,0.0449275362318841,0.104199940845904,0.13117420881396,0.0525584146702159,0.067287784679089,0.128334812185744,0.0752735876959479,0.102425317953268,0.024874297545105
"PD11337",0.0304728359483403,0.0829864446579144,0.12749493008859,0.058650869890063,0.0845874693136941,0.151510299925286,0.156313373892625,0.0580104600277511,0.0135019745970755,0.0765823460347956,0.0727398868609243,0.0871491087629416
"PD11338",0.0566666666666667,0.0779432624113475,0.183049645390071,0.108581560283688,0.0447517730496454,0.0958156028368794,0.0473049645390071,0.13709219858156,0.0311347517730496,0.0783687943262411,0.125177304964539,0.014113475177305
"PD11339",0.052798242212744,0.046206540002585,0.211774589634225,0.0842057645082073,0.0423290681142562,0.0865322476412046,0.110960320537676,0.142755590021972,0.0213907199172806,0.0524104950239111,0.114062298048339,0.0345741243375986
"PD11340",0.0682766262547256,0.105625081475688,0.091350540998566,0.0549797940294616,0.0923282492504237,0.138867162038848,0.118530830400209,0.0219332551166732,0.0301460044322774,0.0762938339199583,0.146297744752966,0.0553708773302047
"PD11341",0.0324128476302389,0.122307089698394,0.152859381120251,0.0723658441049745,0.127594986290638,0.06825303564434,0.117606737171955,0.0999804151978065,0.0271249510379945,0.0465139052095574,0.0700156678417548,0.0629651390520956
"PD11342",0.0566815697963239,0.0697963238946845,0.112717337307501,0.0584699453551913,0.21852955787382,0.0611525086934923,0.0525086934923001,0.0948335817188276,0.0131644311972181,0.0644311972180825,0.0906607054148038,0.107054148037755
"PD11343",0.0935760409708306,0.123302159875306,0.128646181251392,0.0635159207303496,0.0591739033622801,0.095914050322868,0.0661879314183923,0.119628145179247,0.0194277443776442,0.0995880650189268,0.0842240035626809,0.0468158539300824
"PD11344",0.0072365649635915,0.00543118493109466,0.0167148101341999,0.0101251730155864,0.419314557380995,0.0134651260757056,0.00687548895709213,0.0149996991033279,0.00218150087260035,0.0188812661731961,0.0330534994282963,0.451721128964314
"PD11345",0.055876037560491,0.0413582027369163,0.0416466365413582,0.0230907284555972,0.35940454443483,0.100294843444541,0.0421273595487613,0.0312630195814505,0.0155914495401083,0.0341473576258693,0.0377047078806525,0.217495112649425
"PD11346",0.0718047253060063,0.0376458867065186,0.11023341873043,0.0478935382863649,0.159763734699687,0.0807714204383718,0.157628807287219,0.0325220609165955,0.0197124964417876,0.0730856817534871,0.108952462282949,0.0999857671505835
"PD11347",0.0524587538042608,0.0438090661540926,0.131747557264136,0.0659138234823002,0.174034919109403,0.0428479897485183,0.0827326605798494,0.110123338138715,0.0207432324203107,0.0990709594746116,0.104837417908057,0.0716802819157456
"PD11348",0.0739459815546772,0.119795783926219,0.185210803689065,0.055961791831357,0.0435111989459816,0.152206851119895,0.0490447957839262,0.0933135704874835,0.0332345191040843,0.0668313570487484,0.0861989459815547,0.0407444005270092
"PD11349",0.0780326265724319,0.103769391474419,0.0676312397208517,0.0554962883940081,0.140574298795395,0.0648308663377339,0.091101035693648,0.0960350268924745,0.0254922878606036,0.0781659776859137,0.0840334266791128,0.114837533893408
"PD11352",0.0808674759736975,0.0880753667172483,0.15104957005564,0.105526049570056,0.149152756702074,0.0471041982802226,0.0463454729387962,0.0926277187658068,0.0182726353060192,0.0641755184623166,0.140806777946383,0.01599645928174
"PD11355",0.0980755649717514,0.0710628531073446,0.13674081920904,0.0562323446327684,0.0461687853107345,0.240554378531073,0.065236581920904,0.139389124293785,0.0207450564971751,0.0641772598870056,0.0466984463276836,0.0149187853107345
"PD11357",0.086079517838048,0.0749975697482259,0.197773889374939,0.0916204918829591,0.0429182463303198,0.0668319237873044,0.09657820550209,0.198357149800719,0.0315446680276077,0.0356274910080684,0.0577913871877126,0.0198794595120054
"PD11358",0.07314751351763,0.0400198004721651,0.112215368212627,0.0432183382834514,0.300243698118955,0.0612672302185668,0.0452745411621354,0.13437666590511,0.0142030309953545,0.0400198004721651,0.0932526083314294,0.0427614043104105
"PD11359",0.0648625429553265,0.0630216003927344,0.150282277859597,0.0924766813942072,0.0670716740304369,0.0987358861070201,0.104995090819833,0.143654884634266,0.030252822778596,0.0655989199803633,0.0829037800687285,0.0361438389788905
"PD11360",0.11534007159402,0.056590861233944,0.166824594651506,0.0695409559907349,0.0442724784165087,0.12544746262371,0.111865655927564,0.110602232048852,0.0269004000842283,0.0663823962939566,0.082175194777848,0.0240576963571278
"PD11361",0.0655198345553676,0.0886444820454973,0.224572288024065,0.0570595976687347,0.0677758977251363,0.0880804662530551,0.0813122767437488,0.127561571724008,0.0288588080466253,0.063827787178041,0.0886444820454973,0.0181425079902237
"PD11364",0.0578345193246826,0.0904841635272778,0.177131296218781,0.0858797265243477,0.0502999860471606,0.0800195339751639,0.0992744523510534,0.126901074368634,0.030207897307102,0.0678805636947119,0.084623970978094,0.0494628156829915
"PD11365",0.0742349048800662,0.0662068797742422,0.0127110397508879,0.578102953340145,0.0143166447720527,0.0230015082956259,0.132474577920498,0.0073833503624775,0.0630686517783292,0.0116163090546392,0.00884299129080913,0.00804018878022673
"PD11366",0.0543917075831969,0.0324604473540644,0.144080741953082,0.0975995635570104,0.070430987452264,0.137206764866339,0.0972722313147845,0.127714129841789,0.0252591380250955,0.0730496453900709,0.124440807419531,0.0160938352427714
"PD11367",0.0681965749533317,0.226706436165896,0.0775708140573005,0.073066309552796,0.0311865919974028,0.0701444687931174,0.0595527960392825,0.117867867867868,0.0321605389172957,0.132964045126207,0.0675878581283987,0.0429956984011038
"PD11368",0.0437869535717747,0.0565813705534555,0.103833478724435,0.0586168459823592,0.23424929727634,0.106450518561597,0.116337113501987,0.0596345836968111,0.0205243772414462,0.0283754967529321,0.0815886401085587,0.0900213240283028
"PD11369",0.04999460974558,0.0582416990081932,0.149444803794739,0.0588885295385942,0.133435748167313,0.101741052177663,0.111766925398879,0.073118801207417,0.0171679603277275,0.0671356188012074,0.0959195774040535,0.083144674428633
"PD11370",0.0437672435415099,0.0843992977175821,0.132555806370705,0.149862051667921,0.0257085527965889,0.0663406069726612,0.0851517431652872,0.13932781540005,0.0324805618259343,0.0949335339854527,0.122774015550539,0.0226987710057687
"PD11372",0.0181439476028799,0.0122926147992969,0.032447205567194,0.0195887211346288,0.320968479857449,0.0359869007199788,0.0132317175949337,0.0232728936405885,0.00723590743817573,0.0291242264441715,0.0260902020274989,0.461617183173204
"PD11374",0.103644334840389,0.0904918481983833,0.14680093163447,0.0719961638580627,0.0362378408001096,0.0789834223866283,0.115563775859707,0.060076722838745,0.0247294149883546,0.0921359090286341,0.141868749143718,0.0374708864227976
"PD11375",0.109963037634409,0.060567876344086,0.204217069892473,0.0555275537634409,0.0444388440860215,0.143733198924731,0.115507392473118,0.115003360215054,0.0192372311827957,0.0388944892473118,0.0852654569892473,0.00764448924731183
"PD11376",0.0990526754112013,0.0590776597959609,0.172132000832813,0.0634499271288778,0.0637622319383718,0.144649177597335,0.0984280657922132,0.104674161982095,0.0181657297522382,0.0350301894649178,0.120914012075786,0.0206641682281907
"PD11379",0.0255849457938795,0.0423099355015782,0.0143663373130232,0.0156014134760532,0.33677267737066,0.0442654727597091,0.0165791821051187,0.025893714834637,0.00819095649787292,0.0400456292026897,0.0178657197749417,0.412524015369837
"PD11380",0.0585439229843562,0.0325511432009627,0.147352587244284,0.079482551143201,0.0899518652226233,0.0802045728038508,0.0895908543922984,0.126052948255114,0.0213598074608905,0.0740673886883273,0.169735258724428,0.0311070998796631
"PD11381",0.0867101381773017,0.0578326346840553,0.115587641670548,0.0964912280701754,0.0606272317963049,0.0843813072504269,0.0909020338456761,0.159835429281168,0.0308181959323087,0.0727371526160534,0.130026393417171,0.0140506132588107
"PD11383",0.0837454038290858,0.0734753391657157,0.117978952706986,0.0924939774312159,0.0411436541143654,0.122163053125396,0.111892988462026,0.101242551033346,0.0396221630531254,0.0784201851147458,0.114555597819196,0.0232661341447952
"PD11384",0.0643192488262911,0.0423474178403756,0.167981220657277,0.0575586854460094,0.095868544600939,0.080093896713615,0.110516431924883,0.0986854460093897,0.0265727699530516,0.0891079812206573,0.103755868544601,0.0631924882629108
"PD11385",0.0775253828945104,0.105919807262089,0.147737050421614,0.0718464980209947,0.0517122698330752,0.0723627602822234,0.0940457752538289,0.150318361727758,0.0295129926002409,0.057391154706591,0.112114954396834,0.0295129926002409
"PD11386",0.0388014763014763,0.0819250194250194,0.14253108003108,0.0778457653457654,0.165549728049728,0.0478341103341103,0.0778457653457654,0.0929972804972805,0.0111208236208236,0.0795940170940171,0.123300310800311,0.0606546231546232
"PD11388",0.0895349606403387,0.112555401203943,0.146490705827876,0.0508368062446253,0.0563934643117021,0.117119798901899,0.065522259707614,0.0821922339088444,0.025038036647483,0.0869550836806245,0.11434146986836,0.0530197790566911
"PD11389",0.0377340281798881,0.0875313646014283,0.131538313066975,0.122273692337387,0.031943640223895,0.0678440455510519,0.0637907739818568,0.203918162516889,0.039471144566686,0.0516309592742714,0.147172360548157,0.0151515151515152
"PD11391",0.098313192346425,0.0560171198388721,0.084718026183283,0.109642497482377,0.043932527693857,0.0748992950654582,0.13230110775428,0.172331319234642,0.0401560926485398,0.0590382678751259,0.11039778449144,0.0182527693856999
"PD11393",0.114890160344706,0.0725082997810271,0.177827223281769,0.0352122624849898,0.0388147206329024,0.265981493254221,0.075686939323303,0.0803489439853076,0.0244048880412517,0.0405099950554496,0.040721904358268,0.0330931694568058
"PD11394",0.0456691751512469,0.0585067138851999,0.284712999852442,0.070016231370813,0.0425704589051203,0.100118046333186,0.0509812601446068,0.150140180020658,0.023535487678914,0.0443411539029069,0.108086173823226,0.0213221189316807
"PD11395",0.0656342182890855,0.126019434322402,0.128882526461912,0.0724015269824744,0.0424692000694083,0.120553531146972,0.0617300017352074,0.100251605066805,0.111703973624848,0.0653739371854937,0.0895800798195384,0.0153999652958529
"PD11396",0.0986586183769282,0.117169684775319,0.151374916163649,0.0700871898054997,0.0511737089201878,0.0934272300469483,0.102280348759222,0.116364855801476,0.0213950368879946,0.0358819584171697,0.105097250167673,0.0370892018779343
"PD11397",0.0812316314674322,0.112398332308113,0.143359989064315,0.0465791811906226,0.0769257056933907,0.183753673706514,0.0391975941494088,0.101736039915248,0.0322260952771512,0.0578566058369216,0.0654432369626136,0.0592919144282687
"PD11398",0.0417883465442915,0.144416631900987,0.135655680712001,0.0755805868446669,0.0367820887220136,0.0759977749965234,0.116882213878459,0.0830899735780837,0.0317758308997358,0.140661938534279,0.0805868446669448,0.0367820887220136
