,ind,variable,value
348,60,PD11326,116.0
349,61,PD11326,101.0
350,62,PD11326,53.0
351,63,PD11326,172.0
352,64,PD11326,181.0
353,65,PD11326,78.0
354,66,PD11326,104.0
355,67,PD11326,185.0
356,68,PD11326,72.0
357,69,PD11326,100.0
358,70,PD11326,80.0
359,71,PD11326,66.0
360,72,PD11326,77.0
361,73,PD11326,40.0
362,74,PD11326,55.0
363,75,PD11326,87.0
364,76,PD11326,100.0
365,77,PD11326,80.0
366,78,PD11326,40.0
367,79,PD11326,98.0
368,80,PD11326,26.0
369,81,PD11326,18.0
370,82,PD11326,63.0
371,83,PD11326,36.0
372,84,PD11326,36.0
373,85,PD11326,44.0
374,86,PD11326,76.0
375,87,PD11326,69.0
376,88,PD11326,31.0
377,89,PD11326,18.0
378,90,PD11326,35.0
379,91,PD11326,29.0
380,92,PD11326,52.0
381,93,PD11326,33.0
382,94,PD11326,70.0
383,95,PD11326,92.0
384,0,PD11327,281.0
385,1,PD11327,229.0
386,2,PD11327,53.0
387,3,PD11327,260.0
388,4,PD11327,284.0
389,5,PD11327,219.0
390,6,PD11327,46.0
391,7,PD11327,264.0
392,8,PD11327,199.0
393,9,PD11327,144.0
394,10,PD11327,34.0
395,11,PD11327,165.0
396,12,PD11327,250.0
397,13,PD11327,178.0
398,14,PD11327,23.0
399,15,PD11327,307.0
400,16,PD11327,199.0
401,17,PD11327,133.0
402,18,PD11327,92.0
403,19,PD11327,220.0
404,20,PD11327,119.0
405,21,PD11327,102.0
406,22,PD11327,78.0
407,23,PD11327,178.0
408,24,PD11327,82.0
409,25,PD11327,100.0
410,26,PD11327,29.0
411,27,PD11327,123.0
412,28,PD11327,295.0
413,29,PD11327,176.0
414,30,PD11327,42.0
415,31,PD11327,461.0
416,32,PD11327,205.0
417,33,PD11327,102.0
418,34,PD11327,150.0
419,35,PD11327,197.0
420,36,PD11327,122.0
421,37,PD11327,97.0
422,38,PD11327,111.0
423,39,PD11327,215.0
424,40,PD11327,133.0
425,41,PD11327,95.0
426,42,PD11327,138.0
427,43,PD11327,105.0
428,44,PD11327,202.0
429,45,PD11327,142.0
430,46,PD11327,75.0
431,47,PD11327,229.0
432,48,PD11327,106.0
433,49,PD11327,103.0
434,50,PD11327,113.0
435,51,PD11327,189.0
436,52,PD11327,88.0
437,53,PD11327,153.0
438,54,PD11327,142.0
439,55,PD11327,227.0
440,56,PD11327,78.0
441,57,PD11327,59.0
442,58,PD11327,77.0
443,59,PD11327,134.0
444,60,PD11327,153.0
445,61,PD11327,118.0
446,62,PD11327,66.0
447,63,PD11327,237.0
448,64,PD11327,178.0
449,65,PD11327,124.0
450,66,PD11327,124.0
451,67,PD11327,204.0
452,68,PD11327,79.0
453,69,PD11327,156.0
454,70,PD11327,96.0
455,71,PD11327,123.0
456,72,PD11327,93.0
457,73,PD11327,77.0
458,74,PD11327,83.0
459,75,PD11327,112.0
460,76,PD11327,116.0
461,77,PD11327,102.0
462,78,PD11327,67.0
463,79,PD11327,98.0
464,80,PD11327,78.0
465,81,PD11327,25.0
466,82,PD11327,90.0
467,83,PD11327,95.0
468,84,PD11327,46.0
469,85,PD11327,57.0
470,86,PD11327,106.0
471,87,PD11327,78.0
472,88,PD11327,28.0
473,89,PD11327,22.0
474,90,PD11327,50.0
475,91,PD11327,55.0
476,92,PD11327,84.0
477,93,PD11327,48.0
478,94,PD11327,111.0
479,95,PD11327,184.0
480,0,PD11336,88.0
481,1,PD11336,63.0
482,2,PD11336,14.0
483,3,PD11336,59.0
484,4,PD11336,97.0
485,5,PD11336,58.0
486,6,PD11336,20.0
487,7,PD11336,65.0
488,8,PD11336,83.0
489,9,PD11336,48.0
490,10,PD11336,20.0
491,11,PD11336,66.0
492,12,PD11336,104.0
493,13,PD11336,94.0
494,14,PD11336,12.0
495,15,PD11336,164.0
496,16,PD11336,44.0
497,17,PD11336,28.0
498,18,PD11336,11.0
499,19,PD11336,37.0
500,20,PD11336,28.0
501,21,PD11336,24.0
502,22,PD11336,17.0
503,23,PD11336,33.0
504,24,PD11336,17.0
505,25,PD11336,21.0
506,26,PD11336,3.0
507,27,PD11336,18.0
508,28,PD11336,55.0
509,29,PD11336,47.0
510,30,PD11336,4.0
511,31,PD11336,124.0
512,32,PD11336,98.0
513,33,PD11336,55.0
514,34,PD11336,274.0
515,35,PD11336,67.0
516,36,PD11336,110.0
517,37,PD11336,81.0
518,38,PD11336,158.0
519,39,PD11336,107.0
520,40,PD11336,113.0
521,41,PD11336,77.0
522,42,PD11336,194.0
523,43,PD11336,75.0
524,44,PD11336,311.0
525,45,PD11336,177.0
526,46,PD11336,115.0
527,47,PD11336,246.0
528,48,PD11336,37.0
529,49,PD11336,36.0
530,50,PD11336,58.0
531,51,PD11336,64.0
532,52,PD11336,20.0
533,53,PD11336,34.0
534,54,PD11336,23.0
535,55,PD11336,46.0
536,56,PD11336,16.0
537,57,PD11336,26.0
538,58,PD11336,20.0
539,59,PD11336,22.0
540,60,PD11336,56.0
541,61,PD11336,21.0
542,62,PD11336,19.0
543,63,PD11336,74.0
544,64,PD11336,59.0
545,65,PD11336,31.0
546,66,PD11336,41.0
547,67,PD11336,92.0
548,68,PD11336,26.0
549,69,PD11336,31.0
550,70,PD11336,40.0
551,71,PD11336,79.0
552,72,PD11336,28.0
553,73,PD11336,23.0
554,74,PD11336,27.0
555,75,PD11336,29.0
556,76,PD11336,42.0
557,77,PD11336,26.0
558,78,PD11336,27.0
559,79,PD11336,48.0
560,80,PD11336,21.0
561,81,PD11336,6.0
562,82,PD11336,17.0
563,83,PD11336,56.0
564,84,PD11336,13.0
565,85,PD11336,10.0
566,86,PD11336,19.0
567,87,PD11336,145.0
568,88,PD11336,4.0
569,89,PD11336,6.0
570,90,PD11336,11.0
571,91,PD11336,39.0
572,92,PD11336,12.0
573,93,PD11336,16.0
574,94,PD11336,25.0
575,95,PD11336,140.0
576,0,PD11337,58.0
577,1,PD11337,47.0
578,2,PD11337,3.0
579,3,PD11337,40.0
580,4,PD11337,48.0
581,5,PD11337,33.0
582,6,PD11337,10.0
583,7,PD11337,36.0
584,8,PD11337,45.0
585,9,PD11337,35.0
586,10,PD11337,6.0
587,11,PD11337,46.0
588,12,PD11337,85.0
589,13,PD11337,52.0
590,14,PD11337,8.0
591,15,PD11337,90.0
592,16,PD11337,18.0
593,17,PD11337,11.0
594,18,PD11337,4.0
595,19,PD11337,23.0
596,20,PD11337,16.0
597,21,PD11337,13.0
598,22,PD11337,5.0
599,23,PD11337,28.0
600,24,PD11337,16.0
601,25,PD11337,8.0
602,26,PD11337,2.0
603,27,PD11337,15.0
604,28,PD11337,75.0
605,29,PD11337,34.0
606,30,PD11337,8.0
607,31,PD11337,134.0
608,32,PD11337,38.0
609,33,PD11337,26.0
610,34,PD11337,140.0
611,35,PD11337,37.0
612,36,PD11337,34.0
613,37,PD11337,35.0
614,38,PD11337,85.0
615,39,PD11337,52.0
616,40,PD11337,37.0
617,41,PD11337,33.0
618,42,PD11337,109.0
619,43,PD11337,31.0
620,44,PD11337,155.0
621,45,PD11337,75.0
622,46,PD11337,78.0
623,47,PD11337,95.0
624,48,PD11337,26.0
625,49,PD11337,27.0
626,50,PD11337,25.0
627,51,PD11337,51.0
628,52,PD11337,22.0
629,53,PD11337,17.0
630,54,PD11337,13.0
631,55,PD11337,12.0
632,56,PD11337,15.0
633,57,PD11337,9.0
634,58,PD11337,16.0
635,59,PD11337,8.0
636,60,PD11337,49.0
637,61,PD11337,16.0
638,62,PD11337,6.0
639,63,PD11337,31.0
640,64,PD11337,59.0
641,65,PD11337,13.0
642,66,PD11337,30.0
643,67,PD11337,47.0
644,68,PD11337,16.0
645,69,PD11337,13.0
646,70,PD11337,23.0
647,71,PD11337,21.0
648,72,PD11337,24.0
649,73,PD11337,16.0
650,74,PD11337,17.0
651,75,PD11337,17.0
652,76,PD11337,31.0
653,77,PD11337,24.0
654,78,PD11337,18.0
655,79,PD11337,38.0
656,80,PD11337,41.0
657,81,PD11337,9.0
658,82,PD11337,13.0
659,83,PD11337,14.0
660,84,PD11337,8.0
661,85,PD11337,8.0
662,86,PD11337,10.0
663,87,PD11337,9.0
664,88,PD11337,9.0
665,89,PD11337,5.0
666,90,PD11337,8.0
667,91,PD11337,5.0
668,92,PD11337,25.0
669,93,PD11337,7.0
670,94,PD11337,9.0
671,95,PD11337,31.0
672,0,PD11338,37.0
673,1,PD11338,40.0
674,2,PD11338,4.0
675,3,PD11338,27.0
676,4,PD11338,26.0
677,5,PD11338,18.0
678,6,PD11338,5.0
679,7,PD11338,16.0
680,8,PD11338,15.0
681,9,PD11338,30.0
682,10,PD11338,3.0
683,11,PD11338,22.0
684,12,PD11338,44.0
685,13,PD11338,35.0
686,14,PD11338,2.0
687,15,PD11338,57.0
688,16,PD11338,17.0
689,17,PD11338,10.0
690,18,PD11338,6.0
691,19,PD11338,8.0
692,20,PD11338,15.0
693,21,PD11338,11.0
694,22,PD11338,6.0
695,23,PD11338,15.0
696,24,PD11338,12.0
697,25,PD11338,8.0
698,26,PD11338,11.0
699,27,PD11338,12.0
700,28,PD11338,11.0
701,29,PD11338,17.0
702,30,PD11338,2.0
703,31,PD11338,16.0
704,32,PD11338,57.0
705,33,PD11338,28.0
706,34,PD11338,134.0
707,35,PD11338,45.0
708,36,PD11338,52.0
709,37,PD11338,55.0
710,38,PD11338,102.0
711,39,PD11338,43.0
712,40,PD11338,51.0
713,41,PD11338,36.0
714,42,PD11338,119.0
715,43,PD11338,39.0
716,44,PD11338,39.0
717,45,PD11338,51.0
718,46,PD11338,50.0
719,47,PD11338,61.0
720,48,PD11338,15.0
721,49,PD11338,23.0
722,50,PD11338,15.0
723,51,PD11338,31.0
724,52,PD11338,7.0
725,53,PD11338,11.0
726,54,PD11338,12.0
727,55,PD11338,14.0
728,56,PD11338,11.0
729,57,PD11338,11.0
730,58,PD11338,16.0
731,59,PD11338,7.0
732,60,PD11338,26.0
733,61,PD11338,17.0
734,62,PD11338,8.0
735,63,PD11338,20.0
736,64,PD11338,46.0
737,65,PD11338,14.0
738,66,PD11338,38.0
739,67,PD11338,48.0
740,68,PD11338,13.0
741,69,PD11338,11.0
742,70,PD11338,26.0
743,71,PD11338,23.0
744,72,PD11338,26.0
745,73,PD11338,22.0
746,74,PD11338,17.0
747,75,PD11338,29.0
748,76,PD11338,27.0
749,77,PD11338,20.0
750,78,PD11338,16.0
751,79,PD11338,24.0
752,80,PD11338,8.0
753,81,PD11338,6.0
754,82,PD11338,8.0
755,83,PD11338,10.0
756,84,PD11338,2.0
757,85,PD11338,8.0
758,86,PD11338,11.0
759,87,PD11338,9.0
760,88,PD11338,2.0
761,89,PD11338,4.0
762,90,PD11338,5.0
763,91,PD11338,4.0
764,92,PD11338,8.0
765,93,PD11338,11.0
766,94,PD11338,9.0
767,95,PD11338,31.0
768,0,PD11339,28.0
769,1,PD11339,38.0
770,2,PD11339,5.0
771,3,PD11339,22.0
772,4,PD11339,18.0
773,5,PD11339,25.0
774,6,PD11339,6.0
775,7,PD11339,18.0
776,8,PD11339,35.0
777,9,PD11339,19.0
778,10,PD11339,6.0
779,11,PD11339,22.0
780,12,PD11339,43.0
781,13,PD11339,39.0
782,14,PD11339,4.0
783,15,PD11339,47.0
784,16,PD11339,15.0
785,17,PD11339,13.0
786,18,PD11339,3.0
787,19,PD11339,13.0
788,20,PD11339,12.0
789,21,PD11339,16.0
790,22,PD11339,3.0
791,23,PD11339,17.0
792,24,PD11339,8.0
793,25,PD11339,5.0
794,26,PD11339,2.0
795,27,PD11339,7.0
796,28,PD11339,19.0
797,29,PD11339,24.0
798,30,PD11339,1.0
799,31,PD11339,44.0
800,32,PD11339,54.0
801,33,PD11339,38.0
802,34,PD11339,214.0
803,35,PD11339,38.0
804,36,PD11339,66.0
805,37,PD11339,33.0
806,38,PD11339,111.0
807,39,PD11339,42.0
808,40,PD11339,52.0
809,41,PD11339,48.0
810,42,PD11339,136.0
811,43,PD11339,33.0
812,44,PD11339,59.0
813,45,PD11339,61.0
814,46,PD11339,68.0
815,47,PD11339,58.0
816,48,PD11339,24.0
817,49,PD11339,31.0
818,50,PD11339,23.0
819,51,PD11339,47.0
820,52,PD11339,10.0
821,53,PD11339,14.0
822,54,PD11339,12.0
823,55,PD11339,11.0
824,56,PD11339,3.0
825,57,PD11339,8.0
826,58,PD11339,11.0
827,59,PD11339,5.0
828,60,PD11339,33.0
829,61,PD11339,20.0
830,62,PD11339,5.0
831,63,PD11339,32.0
832,64,PD11339,62.0
833,65,PD11339,22.0
834,66,PD11339,42.0
835,67,PD11339,54.0
836,68,PD11339,19.0
837,69,PD11339,9.0
838,70,PD11339,14.0
839,71,PD11339,18.0
840,72,PD11339,23.0
841,73,PD11339,14.0
842,74,PD11339,18.0
843,75,PD11339,27.0
844,76,PD11339,33.0
845,77,PD11339,15.0
846,78,PD11339,18.0
847,79,PD11339,30.0
848,80,PD11339,5.0
849,81,PD11339,5.0
850,82,PD11339,8.0
851,83,PD11339,15.0
852,84,PD11339,3.0
853,85,PD11339,8.0
854,86,PD11339,2.0
855,87,PD11339,13.0
856,88,PD11339,2.0
857,89,PD11339,3.0
858,90,PD11339,2.0
859,91,PD11339,5.0
860,92,PD11339,15.0
861,93,PD11339,7.0
862,94,PD11339,11.0
863,95,PD11339,30.0
864,0,PD11340,68.0
865,1,PD11340,56.0
866,2,PD11340,11.0
867,3,PD11340,60.0
868,4,PD11340,92.0
869,5,PD11340,55.0
870,6,PD11340,24.0
871,7,PD11340,69.0
872,8,PD11340,69.0
873,9,PD11340,37.0
874,10,PD11340,11.0
875,11,PD11340,64.0
876,12,PD11340,112.0
877,13,PD11340,83.0
878,14,PD11340,15.0
879,15,PD11340,156.0
880,16,PD11340,38.0
881,17,PD11340,29.0
882,18,PD11340,5.0
883,19,PD11340,37.0
884,20,PD11340,20.0
885,21,PD11340,24.0
886,22,PD11340,11.0
887,23,PD11340,35.0
888,24,PD11340,13.0
889,25,PD11340,19.0
890,26,PD11340,3.0
891,27,PD11340,16.0
892,28,PD11340,82.0
893,29,PD11340,48.0
894,30,PD11340,12.0
895,31,PD11340,159.0
896,32,PD11340,82.0
897,33,PD11340,81.0
898,34,PD11340,184.0
899,35,PD11340,59.0
900,36,PD11340,100.0
901,37,PD11340,88.0
902,38,PD11340,137.0
903,39,PD11340,118.0
904,40,PD11340,82.0
905,41,PD11340,87.0
906,42,PD11340,154.0
907,43,PD11340,74.0
908,44,PD11340,233.0
909,45,PD11340,188.0
910,46,PD11340,111.0
911,47,PD11340,216.0
912,48,PD11340,32.0
913,49,PD11340,29.0
914,50,PD11340,36.0
915,51,PD11340,63.0
916,52,PD11340,20.0
917,53,PD11340,30.0
918,54,PD11340,17.0
919,55,PD11340,39.0
920,56,PD11340,8.0
921,57,PD11340,16.0
922,58,PD11340,15.0
923,59,PD11340,31.0
924,60,PD11340,95.0
925,61,PD11340,33.0
926,62,PD11340,18.0
927,63,PD11340,52.0
928,64,PD11340,71.0
929,65,PD11340,30.0
930,66,PD11340,51.0
931,67,PD11340,73.0
932,68,PD11340,22.0
933,69,PD11340,35.0
934,70,PD11340,34.0
935,71,PD11340,43.0
936,72,PD11340,41.0
937,73,PD11340,28.0
938,74,PD11340,32.0
939,75,PD11340,29.0
940,76,PD11340,48.0
941,77,PD11340,42.0
942,78,PD11340,28.0
943,79,PD11340,60.0
944,80,PD11340,22.0
945,81,PD11340,12.0
946,82,PD11340,17.0
947,83,PD11340,31.0
948,84,PD11340,11.0
949,85,PD11340,14.0
950,86,PD11340,21.0
951,87,PD11340,37.0
952,88,PD11340,2.0
953,89,PD11340,8.0
954,90,PD11340,11.0
955,91,PD11340,15.0
956,92,PD11340,41.0
957,93,PD11340,9.0
958,94,PD11340,31.0
959,95,PD11340,54.0
960,0,PD11341,25.0
961,1,PD11341,31.0
962,2,PD11341,9.0
963,3,PD11341,10.0
964,4,PD11341,17.0
965,5,PD11341,13.0
966,6,PD11341,6.0
967,7,PD11341,14.0
968,8,PD11341,24.0
969,9,PD11341,18.0
970,10,PD11341,2.0
971,11,PD11341,8.0
972,12,PD11341,18.0
973,13,PD11341,22.0
974,14,PD11341,10.0
975,15,PD11341,36.0
976,16,PD11341,11.0
977,17,PD11341,6.0
978,18,PD11341,3.0
979,19,PD11341,10.0
980,20,PD11341,5.0
981,21,PD11341,14.0
982,22,PD11341,4.0
983,23,PD11341,10.0
984,24,PD11341,4.0
985,25,PD11341,4.0
986,26,PD11341,0.0
987,27,PD11341,2.0
988,28,PD11341,43.0
989,29,PD11341,14.0
990,30,PD11341,4.0
991,31,PD11341,45.0
992,32,PD11341,21.0
993,33,PD11341,14.0
994,34,PD11341,81.0
995,35,PD11341,15.0
996,36,PD11341,27.0
997,37,PD11341,18.0
998,38,PD11341,67.0
999,39,PD11341,26.0
1000,40,PD11341,21.0
1001,41,PD11341,22.0
1002,42,PD11341,58.0
1003,43,PD11341,17.0
1004,44,PD11341,115.0
1005,45,PD11341,42.0
1006,46,PD11341,56.0
1007,47,PD11341,76.0
1008,48,PD11341,11.0
1009,49,PD11341,14.0
1010,50,PD11341,16.0
1011,51,PD11341,27.0
1012,52,PD11341,7.0
1013,53,PD11341,10.0
1014,54,PD11341,10.0
1015,55,PD11341,10.0
1016,56,PD11341,7.0
1017,57,PD11341,7.0
1018,58,PD11341,11.0
1019,59,PD11341,9.0
1020,60,PD11341,33.0
1021,61,PD11341,10.0
1022,62,PD11341,5.0
1023,63,PD11341,26.0
1024,64,PD11341,29.0
1025,65,PD11341,7.0
1026,66,PD11341,19.0
1027,67,PD11341,27.0
1028,68,PD11341,10.0
1029,69,PD11341,15.0
1030,70,PD11341,9.0
1031,71,PD11341,12.0
1032,72,PD11341,13.0
1033,73,PD11341,10.0
1034,74,PD11341,18.0
1035,75,PD11341,15.0
1036,76,PD11341,11.0
1037,77,PD11341,12.0
1038,78,PD11341,7.0
1039,79,PD11341,15.0
1040,80,PD11341,2.0
1041,81,PD11341,3.0
1042,82,PD11341,8.0
1043,83,PD11341,11.0
1044,84,PD11341,3.0
1045,85,PD11341,5.0
1046,86,PD11341,6.0
1047,87,PD11341,8.0
1048,88,PD11341,4.0
1049,89,PD11341,2.0
1050,90,PD11341,2.0
1051,91,PD11341,5.0
1052,92,PD11341,5.0
1053,93,PD11341,0.0
1054,94,PD11341,7.0
1055,95,PD11341,21.0
1056,0,PD11342,31.0
1057,1,PD11342,36.0
1058,2,PD11342,3.0
1059,3,PD11342,22.0
1060,4,PD11342,25.0
1061,5,PD11342,26.0
1062,6,PD11342,6.0
1063,7,PD11342,23.0
1064,8,PD11342,31.0
1065,9,PD11342,16.0
1066,10,PD11342,5.0
1067,11,PD11342,23.0
1068,12,PD11342,55.0
