V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
0.05859636028292072,0.14103961361826647,0.01513169546986456,0.07484693991055749,0.06485651760231227,0.05596482119662644,0.13021698891412672,0.03025877040694137,0.08755775815273785,0.04044484052287376,0.12111635236404218,0.061867075907166114,0.046651295039494604,0.07145097061206963
0.03410403068590737,0.06880343301014664,0.07195498629779251,0.1031753916904821,0.027236855283016635,0.09554320048780177,0.049622282124367444,0.031354989854813484,0.031273053740639635,0.04008603639597171,0.09059669145033288,0.12891330644430973,0.05313234949884093,0.1742033930355771
0.04112056285227598,0.05039920455454749,0.020338066943236963,0.10969095291772024,0.030120347566879965,0.07273156174264495,0.12001488442797376,0.06310182445642983,0.04610421755574958,0.028209022079344826,0.04732250654839753,0.22579698451834973,0.04452374799771488,0.10052611583873403
0.08310363498106686,0.0451264894107261,0.014608474156379966,0.11296535060324382,0.05267735358251485,0.055799852940125405,0.11192280019655577,0.05537061828757992,0.04572647455518017,0.030996751564142035,0.05804823951615631,0.2324061680436034,0.03307675447295075,0.06817103768977437
0.059177543924763584,0.03510710821877201,0.014847649904159883,0.11201274156560195,0.032238449958214496,0.04556259328964219,0.1456520227643717,0.06154086414321615,0.03386215356565491,0.031226942664333304,0.1167900970533332,0.20042940494159753,0.03346919857917473,0.07808322942716413
0.028417243134040104,0.15153881563517194,0.06673812148602529,0.04491856050293398,0.11971935881392297,0.032591198739791875,0.17839083678199077,0.03623114089128284,0.09063525933578112,0.03111201144663625,0.03273924049587361,0.08629687196715338,0.0491476249868809,0.0515237157825151
0.0729187218271589,0.15057042412848592,0.007539836570464827,0.06152058340171569,0.10011999511296976,0.04759503691981161,0.18098932897782702,0.03142918168850963,0.05490603128141572,0.040092572838349334,0.024373988085912016,0.06388927513976089,0.0358659324359073,0.12818909159171135
0.010808759588422675,0.21683545959037342,0.010499036019051349,0.05089568799551355,0.0364204644069226,0.07313438689980468,0.13534913967624587,0.025972396444285586,0.12998056784076786,0.03361947611768296,0.05216127954531002,0.06566735777599386,0.06542218450324087,0.09323380359638452
0.021816642090776977,0.26540164006279543,0.01133337605751391,0.04657953759303767,0.049888728594284316,0.06425655629710622,0.13214804499690272,0.024188646773695824,0.10156700584533791,0.03784256021349564,0.025135401994395203,0.05084796907875819,0.06032728696339805,0.10866660343850208
0.04684185951955866,0.1290416476147261,0.017198522273949586,0.05540438494839894,0.1092756840396975,0.048816253161653625,0.1702027251734323,0.04337400994940887,0.10963062595207756,0.04632056035175576,0.029739005913382507,0.07809193624752743,0.05037706023236193,0.06568572462206902
