"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"PD10010",0.0268324984165371,0.0477917890251627,0.0848736108711925,0.109460471008234,0.0852766741521276,0.0469856624632925,0.0405366499683307,0.0401335866873956,0.0199804226406403,0.0691541429147233,0.0929348764898946,0.227961075603155,0.0671388265100478,0.0409397132492658
"PD10011",0.113743262265252,0.087427472791568,0.0335942596216569,0.0307103374875545,0.0368386720225221,0.00691797988120987,0.030950664332063,0.0661585470525629,0.132969409825935,0.189806708552202,0.0219384076629931,0.175387097881691,0.0112438630823634,0.0623133175404264
"PD10014",0.0365972425931358,0.0799647990613083,0.0246054561454972,0.0364329715459079,0.0382399530654151,0.0168847169257847,0.0411146963919038,0.199554121443238,0.170067468465826,0.0363508360222939,0.0341331768847169,0.119636256966852,0.0816075095335876,0.0848107949545321
"PD11326",0.0284740058453636,0.055545714876155,0.0174180025388953,0.0504826853245948,0.040563280488885,0.0290939686475954,0.0870604906562749,0.185944557612258,0.17003217902164,0.0376701207451362,0.0398399905529478,0.124671567325008,0.0714580934667729,0.0617453428984737
"PD11327",0.0244082591908679,0.0424262772088859,0.0176710872363046,0.0169660343573387,0.0516703038442169,0.0148508757204409,0.0572323876671703,0.158211627776845,0.131576296793688,0.0712551060377147,0.0197079066644284,0.217749426445079,0.108622908622909,0.0676515024341111
"PD11336",0.111725186969198,0.00950690835340347,0.118113829382685,0.0583090379008746,0.043402205602738,0.106223856002028,0.0155406261883635,0.0703764735707948,0.0536950183800228,0.051742933198124,0.0796045126124984,0.0783622765876537,0.118113829382685,0.0852833058689314
"PD11337",0.0120305566991446,0.0225973194272906,0.124742692466035,0.0453318695393623,0.0430904350212708,0.0786331823795801,0.0744705182745529,0.0616623210283153,0.10072732262934,0.135949865056493,0.0286812131192535,0.0386075659850876,0.148117652440419,0.0853574859338548
"PD11338",0.0172644376899696,0.104924012158055,0.162370820668693,0.109604863221884,0.0300303951367781,0.0381155015197568,0.00832826747720365,0.0615197568389058,0.0453495440729483,0.0627963525835866,0.138966565349544,0.0921580547112462,0.0832218844984803,0.0453495440729483
"PD11339",0.0207721708303329,0.0630366144131169,0.200299119259957,0.13205561402537,0.0506287043704647,0.0413227718384756,0.0168946989420041,0.0440370021603058,0.0409350246496427,0.108403035506564,0.118484462416219,0.0339555752506509,0.0665263391126129,0.0626488672242841
"PD11340",0.0319850270964858,0.0570143583440416,0.0982736465724342,0.0137996536119336,0.0642493994077881,0.0855634392982848,0.0347226102016872,0.0859545225990279,0.0642493994077881,0.0839991060953126,0.141292809654171,0.0401977764120901,0.126040560925191,0.0726576903737639
"PD11341",0.0320631190196408,0.0708410273627665,0.151922108443848,0.057327513849253,0.029712942756421,0.12842034581165,0.0520396172570086,0.109618935705892,0.0238375020983717,0.0831794527446701,0.0778915561524257,0.0808292764814504,0.0825919086788652,0.0197246936377371
"PD11342",0.0117947626144347,0.0442835852671918,0.0925697253566106,0.111943793911007,0.0478603363849266,0.21149670002129,0.0940600383223334,0.0514370875026613,0.0764743453268043,0.0424952097083245,0.0883968490525868,0.0189482648499042,0.0511390249095167,0.0571002767724079
"PD11343",0.0175589273785667,0.0699971371314057,0.118761332188186,0.0983872506918599,0.0502910583070904,0.0522950663231224,0.0312529821547858,0.104065273403951,0.103731272067945,0.0639851130833095,0.0756751598434965,0.0399370168909247,0.106403282755988,0.0676591277793683
"PD11344",0.00366234235163645,0.0101617104686251,0.0174734996002373,0.0110644004848735,0.113068372320945,0.365099424857504,0.406623165604931,0.0052871843808836,0.0116962834962474,0.00519691537925876,0.0297500838212158,0.00537745338250845,0.010793593479999,0.00474557037113455
"PD11345",0.0114000027469886,0.0218797643083769,0.042743142829673,0.0288021756149821,0.0526460367821775,0.337137912563352,0.207246555963026,0.0288021756149821,0.00399686843298034,0.0350515747112228,0.0312057906519977,0.0614913401183952,0.0902385759611026,0.0473580837007431
"PD11346",0.0147614981090643,0.0250091496889106,0.109979260705136,0.0275710625838721,0.0442234964011224,0.153104794436989,0.0856410882030011,0.0437965109186288,0.0416615835061608,0.094180797852873,0.106136391362694,0.0813712333780651,0.0826521898255459,0.089910943027937
"PD11347",0.0194961213702204,0.0795633967186106,0.116084300130432,0.102148692249605,0.0747580146907394,0.160774352989634,0.0468867989290863,0.0608224068099128,0.0391981876844923,0.0661083270405712,0.119448067549942,0.0473673371318734,0.037756573076131,0.0295874236287499
"PD11348",0.0269904009034444,0.0617730095990966,0.172049689440994,0.0835121400338792,0.0435911914172784,0.0431959345002823,0.0220496894409938,0.0900338791643139,0.0728402032749859,0.0483342744212309,0.0649350649350649,0.0520892151326934,0.143788819875776,0.0748164878599661
"PD11349",0.0172784942754272,0.0486160059436496,0.0611510106109386,0.0679519173985103,0.0718190996894824,0.12502619396872,0.0914217133713067,0.100089535747623,0.0870211266264073,0.0798201664983903,0.0818204332006172,0.0522164860076582,0.0551502105042577,0.0606176061570114
"PD11352",0.0233579015824843,0.0817797528723174,0.119336657272924,0.131096900065034,0.0176674615217863,0.159169737697811,0.011597658790375,0.0476371125081292,0.0578799046173857,0.0601560806416649,0.120474745285064,0.0518101018859744,0.0286689789724691,0.0893670062865814
"PD11355",0.0199001210653753,0.0516797820823245,0.12318401937046,0.088226392251816,0.0230780871670702,0.043205205811138,0.0135441888619855,0.0585653753026634,0.0236077481840194,0.0691585956416465,0.0643916464891041,0.0935230024213075,0.220111985472155,0.107823849878935
"PD11357",0.0296212973378328,0.088530600341624,0.163771195267258,0.176311294421531,0.0237886930800317,0.0357455318085239,0.0127067449902096,0.083572886722493,0.0293296671249427,0.0873640794900637,0.0789068033162521,0.057034537349498,0.0800733241678123,0.0532433445819273
"PD11358",0.0145239727145142,0.0451385489082542,0.0935735500505891,0.0931166160775482,0.0101830999706257,0.296452234080747,0.0462808838408564,0.0497078886386631,0.0474232187734587,0.0453670158947746,0.0915173471719051,0.0309735957439864,0.0682137145468194,0.0675283135872581
"PD11359",0.0362928676625289,0.0793709236271828,0.133126446454871,0.122817168104355,0.0370292446875658,0.0591205554386703,0.0267199663370503,0.0701662108142226,0.0642751946139281,0.0911529560277719,0.0955712181779928,0.046233957500526,0.092993898590364,0.0451293919629708
"PD11360",0.0172367114881328,0.0614565472430286,0.155581626207021,0.0977799837559787,0.0150257197003881,0.0491381644255934,0.0210269831242668,0.0229221189423337,0.0908311524230665,0.118626477754715,0.0706163703636856,0.0545077159101164,0.109466654634058,0.115783774027615
"PD11361",0.0178067843042462,0.0465715897187978,0.206752074772379,0.124969784868262,0.0369833212472806,0.0612360003222947,0.0104745790024978,0.0527757634356619,0.0634920634920635,0.0753363951333495,0.0781564740955604,0.0493916686810088,0.125533800660704,0.0505197002658932
"PD11364",0.0287029839143694,0.0739101835795013,0.136697960892184,0.158464390360581,0.0395861986485678,0.0412605393769061,0.0446092208335825,0.0785146205824314,0.0508879985648508,0.0839562279495306,0.0827004724032769,0.067631405848233,0.0659570651198948,0.0471207319260898
"PD11365",0.0547052567925433,0.552077903121546,0.0193089642805013,0.0140542569385074,0.00726692662176533,0.0139082928456743,0.00631816001834977,0.0655065996621974,0.00646412411118293,0.128125195487624,0.00836165731801405,0.0307671455679046,0.0222282461371645,0.0709072710970244
"PD11366",0.0316109422492401,0.0954407294832827,0.102642038812252,0.145195230301613,0.0339022679448211,0.0663081599251812,0.0106616787467851,0.0456862286649521,0.0483048866027589,0.0764554594341828,0.127846621463643,0.0607435118073416,0.10984334814122,0.0453588964227262
"PD11367",0.0242964972694702,0.0723851264391805,0.0594803297506,0.0818811089081359,0.0502278340116178,0.029653205328881,0.0311141257087203,0.16320567671919,0.190597933841177,0.0456015861421267,0.0661762148248635,0.0570454624508679,0.0555845420710286,0.0727503565341403
