"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"PD10010",0.0896144027945721,0.0537417707913476,0.0751041246809082,0.0259304044068252,0.19602310896144,0.074297998119038,0.0170630122262529,0.0875990863898966,0.0795378207711944,0.0638183528147253,0.0408437458014242,0.0396345559586188,0.0541448340722827,0.0218997715974741,0.0807470106139997
"PD10011",0.098694224144837,0.0674517343587279,0.0353681006168389,0.0567571897780982,0.199751662260675,0.00532724505327245,0.0911239285428182,0.00989345509893455,0.00604822558679805,0.156492830249139,0.0124168869662741,0.0261155171032604,0.0817511816069855,0.103500761035008,0.0493070575983337
"PD10014",0.027296372347707,0.21201916495551,0.0412594113620808,0.0682819986310746,0.0744421629021218,0.0758384668035592,0.156659822039699,0.0321423682409309,0.0214647501711157,0.0697604380561259,0.0181793292265572,0.0378097193702943,0.0756741957563313,0.0343600273785079,0.0548117727583847
"PD11326",0.0267961700075773,0.209685196665978,0.0396087345870359,0.0276227870772198,0.1109044568437,0.077839774058001,0.145105738100158,0.0530412619687263,0.0276227870772198,0.0401253702555624,0.0301026382861473,0.0832127850106771,0.0661638079493008,0.0251429358682923,0.0370255562444031
"PD11327",0.0462462462462463,0.193053923488706,0.048831440135788,0.0601122861992427,0.186395090742917,0.101632066849458,0.118083300691996,0.0182791487139313,0.00958349654001828,0.0546285415850633,0.0180441310876093,0.0502415458937198,0.0470296383339862,0.0257997127562345,0.0220394307350829
"PD11336",0.0506359065365277,0.0854185152321798,0.0382135462880804,0.0348417627920733,0.0417627920733511,0.119846199349305,0.0602188701567584,0.101745045844425,0.109375924282757,0.0474415853297841,0.097840875480627,0.0163856847086661,0.0250813368825791,0.1125702454895,0.0586217095533866
"PD11337",0.058704237378589,0.0490980894439108,0.0500587042373786,0.0490980894439108,0.0186786209840965,0.141637314547977,0.0945671896680542,0.0279645639876187,0.116661329917814,0.142597929341445,0.084961041733376,0.0695912050378909,0.0222008752268118,0.0132351371544455,0.0609456718966805
"PD11338",0.0720567375886525,0.0656737588652482,0.0184397163120567,0.0631205673758865,0.0839716312056738,0.0886524822695035,0.0486524822695035,0.126950354609929,0.151205673758865,0.0384397163120567,0.0286524822695035,0.013758865248227,0.0767375886524823,0.0205673758865248,0.103120567375887
"PD11339",0.0928008271940028,0.0365774848132351,0.0447201757787256,0.0571280858213778,0.0261083107147473,0.0652707767868683,0.0524751195553832,0.116065658523976,0.178880703114902,0.0908620912498384,0.0346387488690707,0.0168023781827582,0.0489853948558873,0.0164146309939253,0.122269613545302
"PD11340",0.0954895059314301,0.0687002998305306,0.068113674879416,0.0700690913831313,0.0745665493416764,0.113088254464868,0.0511015512970929,0.114848129318211,0.075153174292791,0.0669404249771868,0.0892321731195411,0.0219658453917351,0.0250945117976796,0.0280276365532525,0.0376091774214574
"PD11341",0.102428515471994,0.0789267528397963,0.0242851547199373,0.0189972581276929,0.0654132393262828,0.0701135918527223,0.0377986682334508,0.0654132393262828,0.125930278104191,0.0718762240501371,0.122992557775166,0.0601253427340384,0.0436741088915002,0.0231100665883275,0.0889150019584802
"PD11342",0.0531544957774466,0.0513661202185792,0.0409339294585196,0.0573273720814704,0.0197714853452558,0.0585196224540487,0.0683556880278192,0.0755091902632886,0.102632886239444,0.0442126179831098,0.208445106805763,0.0960755091902633,0.0322901142573274,0.0072528564331843,0.0841530054644809
"PD11343",0.047205522155422,0.0979737252282342,0.0398574927633044,0.0595635715876197,0.0729236250278334,0.0953017145401915,0.0769316410598976,0.0765976397238922,0.132041861500779,0.0672456023157426,0.0562235582275662,0.0345134713872189,0.0545535515475395,0.0144733912268982,0.0745936317078602
"PD11344",0.00680026478907143,0.00472407775170007,0.115845218751881,0.00797376181019438,0.00752241680207017,0.0112234458686887,0.0138412469158091,0.024763796112415,0.0160077029548053,0.0037311187338268,0.369862189324186,0.39044352169465,0.00689053379069627,0.00327977372570259,0.0170909309743034
"PD11345",0.0393551902060699,0.0380091657853412,0.0506041085793033,0.0465660353171169,0.0432971188667756,0.0897349613819184,0.00608915809377304,0.032625068102426,0.0337788033201936,0.0268563920135884,0.335576707367881,0.200781976092042,0.0133000032048201,0.012530846392975,0.0308944652757748
"PD11346",0.080842584685454,0.00910902362653003,0.0466837460859664,0.0804155992029604,0.0718758895530885,0.0603472815257615,0.0308852832337034,0.0902362653003131,0.0787076572729861,0.125249074864788,0.152149160261884,0.0859664104753772,0.0129518929689724,0.0116709365214916,0.062909194420723
