V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
0.05933025149996065,0.14696169294117814,0.014239377464270338,0.0769607038463275,0.06443148895009905,0.07296207684434478,0.14111871215269511,0.04322745627474276,0.10266034618305579,0.0539997547897723,0.15443596726202904,0.06967217179152424
0.03336539029309625,0.07534749997406796,0.06897762413502088,0.07958305282356995,0.027988254495498868,0.1256643332068558,0.061837004606389315,0.043343486367526246,0.03948477153297875,0.05994777766966742,0.2546315368562125,0.12982926803911599
0.04078804700349974,0.05277087588022368,0.02091438747542573,0.11097443919444645,0.030059535481143818,0.09178080783119331,0.13627434597595883,0.0807871663369983,0.05379920392692286,0.040229663885605275,0.09741901981032575,0.24420250719825629
0.08312190824952166,0.04701961736920656,0.014596076941172124,0.11693044367563436,0.05249079359716873,0.06665001644231978,0.12100634422004045,0.06877154219662947,0.05148731958012471,0.04235294909579177,0.08632206274950466,0.24925092588288567
0.05891040499321889,0.0364788697069855,0.014628363616581054,0.1145306331909212,0.032181206996374806,0.053706004170176715,0.15941752444294754,0.0779899494831288,0.03733897246253837,0.04089784586619766,0.16090578062703517,0.2130144444438943
0.02863035970503958,0.15951488041622205,0.06777481652188891,0.047734955767317636,0.11900246545428729,0.04439738858936243,0.192401828623438,0.0589380527374322,0.10345121419026819,0.03999284564435202,0.048881762973250156,0.08927942937714166
0.07242314675974093,0.15769448074502893,0.00840341035765653,0.06167652071066132,0.0991545464928718,0.061620794873295755,0.2171115160232657,0.04420416258552775,0.0649712876218014,0.060214597573149654,0.08547787195779089,0.06704766429920955
0.010872403259553043,0.2285362684729153,0.010292049092448989,0.05099601514521952,0.03609800786376342,0.10239393852369712,0.1531916558451359,0.039304285950271606,0.15659578447346914,0.04756047430016085,0.086834617100784,0.077324499972581
0.021970646003154477,0.2801527280669207,0.011819869185921967,0.046685467759163886,0.04927583734218528,0.09092556519199732,0.15443045554193666,0.03781321702108494,0.1263910715432351,0.055945403267502566,0.06468861282574027,0.05990112625115695
0.04708924326177531,0.1348347226698576,0.017299016866903813,0.05535101592289959,0.10877447935924388,0.06568899513650028,0.1836450991568172,0.06259331636658352,0.12476944382579239,0.06113084303329744,0.05650094438492785,0.082322880015401
0.05494526440895306,0.1880042540594825,0.013726160306757485,0.0348747038325651,0.13972743568560492,0.07334084886461939,0.14833475497008622,0.03384372458419513,0.0802737700080016,0.06702587112930229,0.06993804082640762,0.09596517132402468
0.09342420725536671,0.14930179131379326,0.00638976328020882,0.046177056374638883,0.2444747999636262,0.06475110376943602,0.10650764855672501,0.036328845782809954,0.10564671350462648,0.03805791319668382,0.04326417753735618,0.06567597946472886
0.039462619008536544,0.18208776335633406,0.010010108533262419,0.07622833169841585,0.06681717845543453,0.07708516119723775,0.17206633125197812,0.056191126233956244,0.10073321490676374,0.04541484422893686,0.07395627183539286,0.0999470492937512
0.406326898992568,0.02450063434881606,0.0012883768406516932,0.019295334789053497,0.46873977692754126,0.009479150733507842,0.018664371704986606,0.007181350903520318,0.02598438348294011,0.005075914408798061,0.0068856425160494445,0.006578164351567078
