V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
0.058484191585669275,0.14081784587113655,0.01504149309814535,0.07180255227159528,0.06460846696444927,0.05524300350452413,0.12922856924570716,0.0300231613312152,0.08838376009923411,0.03845834780298324,0.11858992278367014,0.05842220530491356,0.049081811209360955,0.03720534820831235,0.04460932071908348
0.03444681162368847,0.06818332300583843,0.06701736143150193,0.09526118578600248,0.027550215281500767,0.09228635605075312,0.04927718761886074,0.03092310407049069,0.03049343962540776,0.03668536904752644,0.06607296387325584,0.1190287266129982,0.054282066328543405,0.07588204550820307,0.1526098441354287
0.04103445623806215,0.05029706760668368,0.01993131345007387,0.10577253572251978,0.03008180368267748,0.07208183989369052,0.1209565939463452,0.06233330243463405,0.04633762456984667,0.026993004591072102,0.045938475760461346,0.21777404450288904,0.0466988180657552,0.056964426034092915,0.05680469350119601
0.08308647133956074,0.04513932566334118,0.013987682577917642,0.10691780554712536,0.052797801191523,0.05462450091598031,0.11112407627650345,0.053946665003209764,0.04549677991435569,0.028753254110168026,0.05460304438901949,0.22256844478177407,0.035037734701299283,0.031320935716635454,0.06059547787158631
0.058469888568106296,0.03521614097869871,0.01466869797137345,0.10836878860364131,0.032264260910322584,0.04530068691347531,0.1459797427509293,0.06024266720040872,0.03429738174897111,0.02997074312343641,0.11613059757289215,0.1933907381403807,0.03498875435806306,0.05168233630210814,0.03902857485719265
0.02830136120344137,0.151263315361061,0.065348413314767,0.04324124924571099,0.11967069120530308,0.031603918391916334,0.17581094435470343,0.03580605051698958,0.0913759024523673,0.029204474064833306,0.03198036916148949,0.08196024008248473,0.051945188261567354,0.030596859692544175,0.03189102269082092
0.07270768180624845,0.15069911998522745,0.00773247456816154,0.06108074024245917,0.10003195714615334,0.04713934690875418,0.18318326755736222,0.03210592383944716,0.055234659513103745,0.04018352200072857,0.023104864268639884,0.059366376770729125,0.03771800338973779,0.09129477070917022,0.03841729129407701
0.01090956666114558,0.21553623880116907,0.009940470632088893,0.0463331459819917,0.03641911995274861,0.07069604161398936,0.13476554123502996,0.02548771066660728,0.12854177021351282,0.031426870369079186,0.04551169565550881,0.05939033524895101,0.06913475704382327,0.03609234580276481,0.07981439012158954
0.02170377095587736,0.26490847035368575,0.010800280215272658,0.040657778871007494,0.050166871936227334,0.06343512959950806,0.13041847099014803,0.02308680164026675,0.10177749283669277,0.0340988010474164,0.02274581129600719,0.048207367740143475,0.06366707316690923,0.03863359879297389,0.08569228055786347
0.04676151613393674,0.12878896032420728,0.016692269351841437,0.052722208787520715,0.10943355232335383,0.048125496792972296,0.1685071725927443,0.04251617653496017,0.11080707073921689,0.04416003505602768,0.02814315997981467,0.07513120710191237,0.05305756680587332,0.04222792137462808,0.03292568610099032
0.055016526474505965,0.182222059584217,0.013263278894160083,0.032585624304936084,0.14001585861969337,0.05654118979900829,0.13091773349303662,0.02681482903548338,0.0686671484106499,0.042732834977690724,0.032715299007870076,0.07817570787708772,0.03758952433995774,0.035348602651874894,0.0673937825298282
0.09319100698954537,0.14121790035392767,0.005911469411339015,0.04006679070026325,0.24661285267315203,0.044868424459794096,0.09090456466458238,0.023340902562206212,0.0863967024850813,0.023111814028053127,0.01601799476606781,0.053367141990356505,0.04623636171463011,0.02739611729872415,0.06135995590227703
0.03943825414040853,0.17275837353200807,0.00953926390247846,0.07110694427110212,0.06717810732645715,0.05665082263335089,0.15208071267666598,0.037351361745679476,0.08552614563399548,0.03081062440308007,0.03390267234499801,0.08475444769515453,0.05451544274110067,0.044492597002663746,0.059894229950856796
0.4052342522303903,0.023239110910459996,0.0012114441765905257,0.017383685992293917,0.47118014274431086,0.007127833230305504,0.017086235545945593,0.004366475996854367,0.022294272005289585,0.00360699800520916,0.004058675913305796,0.005891042309493548,0.006891721515739762,0.004998871464166298,0.005429237959644961
0.19344263518312127,0.05888280159538712,0.00719889306722694,0.022724770774548014,0.3951287463336777,0.027375005442862456,0.11097564936118777,0.027132937259758905,0.03851957982794687,0.019216565315542052,0.024214531461578565,0.03154029031844921,0.01881547639653819,0.013421868200664981,0.011410249461510084
