logbeta.1,logbeta.2,logbeta.3,logbeta.4,logbeta.5,logbeta.6,logbeta.7,logbeta.8,logbeta.9,logbeta.10,logbeta.11,logbeta.12,logbeta.13,logbeta.14,logbeta.15,logbeta.16,logbeta.17,logbeta.18,logbeta.19,logbeta.20,logbeta.21,logbeta.22,logbeta.23,logbeta.24,logbeta.25,logbeta.26,logbeta.27,logbeta.28,logbeta.29,logbeta.30,logbeta.31,logbeta.32,logbeta.33,logbeta.34,logbeta.35,logbeta.36,logbeta.37,logbeta.38,logbeta.39,logbeta.40,logbeta.41,logbeta.42,logbeta.43,logbeta.44,logbeta.45,logbeta.46,logbeta.47,logbeta.48,logbeta.49,logbeta.50,logbeta.51,logbeta.52,logbeta.53,logbeta.54,logbeta.55,logbeta.56,logbeta.57,logbeta.58,logbeta.59,logbeta.60,logbeta.61,logbeta.62,logbeta.63,logbeta.64,logbeta.65,logbeta.66,logbeta.67,logbeta.68,logbeta.69,logbeta.70,logbeta.71,logbeta.72,logbeta.73,logbeta.74,logbeta.75,logbeta.76,logbeta.77,logbeta.78,logbeta.79,logbeta.80,logbeta.81,logbeta.82,logbeta.83,logbeta.84,logbeta.85,logbeta.86,logbeta.87,logbeta.88,logbeta.89,logbeta.90,logbeta.91,logbeta.92,logbeta.93,logbeta.94,logbeta.95,logbeta.96
-10.749578407653974,-10.618576206334007,-12.167256544169986,-10.056347818892121,-3.0161203509475936,-4.1475343227447,-6.661503922893906,-4.120192042198202,-5.798725749571972,-7.778334784474638,-1000,-5.6830568997997535,-13.043715887669489,-5.284129961719486,-8.112431321406424,-8.661375601034644,-5.129821726697203,-7.140149639056295,-8.27166020672008,-12.356484562807013,-1000,-0.9712439091220849,-2.585512475040389,-9.383135287323885,-4.457190517028722,-0.8831193227080378,-6.64985053106304,-9.957329051679407,-9.46911209879084,-8.55985136132916,-5.77069955608022,-1000,-10.917105022951594,-6.851602334043849,-7.040990729629749,-7.358823245662264,-7.588518880884288,-1000,-7.8417168697614965,-1000,-5.565289198464121,-8.395193750400425,-5.180835545375578,-8.23706438154489,-10.516764192200938,-9.288670516606238,-12.638532106046139,-9.888335862997767,-11.933018003698113,-11.732091985366678,-14.278988753440142,-1000,-12.104095875672986,-10.375998122273803,-16.197448795918216,-17.146168007934016,-9.693315702460064,-1000,-9.085802966750832,-10.922205965052152,-15.018207225467211,-10.359712796310989,-13.700665560560154,-12.589476592833085,-10.706525254686127,-17.244649391930505,-17.763293973675044,-1000,-14.336684822916498,-15.750415951215361,-1000,-9.443767485546042,-10.830452777365654,-9.875149192240622,-10.880126965977933,-11.629098442080025,-1000,-12.380129037270988,-1000,-1000,-12.639895523547985,-15.034462324415976,-10.408745794461971,-16.074431566675322,-17.70665906567014,-17.26541395893113,-1000,-17.639886073575006,-1000,-10.461777190811272,-18.921754020419602,-17.652212416670938,-8.758896934291595,-12.815357010573274,-15.174149399824381,-10.107317524730947
-7.176768965156133,-6.35925270441262,-6.555170037002119,-6.239049579623044,-7.113371314433223,-6.292668885186016,-7.252499764276609,-5.431350424820366,-8.15168759053636,-7.625711478810505,-1000,-8.739419410705466,-8.345387084050405,-13.290906732554367,-10.35411204812791,-8.593420082866354,-12.23581968519721,-9.309379072525596,-7.133737949756531,-12.44386659743123,-1000,-1000,-11.335296455912934,-7.099326077894491,-9.187289796180911,-9.867485433705966,-4.124098177923957,-4.592853227905463,-1.427271266488445,-4.963075785480509,-4.725686501272892,-1000,-1.9007406927840533,-4.607214158956799,-7.069253920141109,-3.9043438648493627,-3.6101610792181678,-1.4379277416383567,-4.0623154470863705,-1000,-4.48722855284503,-2.3069795586812303,-4.918848360974526,-5.403691259969175,-4.537708199759651,-6.463671513572043,-6.9537369318488045,-4.435347212055208,-11.266928749820805,-7.602914064239974,-9.56254671642264,-1000,-9.119334989204608,-6.048423530075311,-7.749304159163952,-7.501719703341273,-7.068032466240175,-1000,-7.334533874919522,-8.834991456349574,-5.528576862427206,-4.402306959747923,-5.916283781783482,-4.999596844518489,-4.672415097161276,-6.447987781353825,-7.926452117798027,-1000,-6.680389872768776,-6.856954776080058,-1000,-5.411523957284067,-5.956341168102741,-4.890403867785155,-5.1441467394096625,-5.362084984334949,-1000,-4.438803959500745,-1000,-1000,-7.280774206252514,-10.39692727226347,-7.436519802215741,-9.026419769807665,-7.238594740601281,-9.169994291328438,-1000,-12.841547986444086,-1000,-6.366499969641397,-12.86592743552466,-8.578113692555307,-9.172192865076493,-8.280152283242941,-6.856582247487351,-5.585402948802243
-7.12411235062164,-7.8188107493490175,-7.894515914543475,-6.618308228297699,-6.542756745110632,-8.263822443775437,-7.370161530321886,-4.746046464482964,-5.990834302883692,-6.365903532662119,-1000,-5.099864317878764,-11.258811224766117,-6.5932024621840295,-9.060671785783043,-11.009833823360127,-6.61638984373576,-8.469683325875438,-5.967753395018196,-9.961384793172886,-1000,-1000,-6.209851028801578,-9.048672534944119,-7.700076592213493,-5.2871227468949415,-6.811262588801451,-7.182424482220322,-7.266428211996221,-6.9838513037804395,-5.517043339391466,-1000,-7.298159302075755,-6.821811223134385,-8.005122415519269,-8.115505557480278,-7.048638866175987,-1000,-6.48731287380232,-1000,-5.011985635530327,-6.15111436249266,-4.8778540958866685,-7.782187083271548,-8.20489928344594,-9.685484931876763,-9.679190862317284,-5.946071108986071,-8.839198560027565,-5.693789322976951,-7.799213289537595,-1000,-10.426379041661399,-8.09857165210688,-11.317854420522425,-7.701025676330478,-10.388581351704044,-1000,-8.275251572282214,-8.772631180970604,-5.465526929760268,-6.241746733792051,-7.27051833777618,-7.003277999433643,-5.946015858624975,-5.696394828612637,-4.620763092097442,-1000,-4.800264763510244,-2.817676283127914,-1000,-6.305898279742691,-6.0583389367415945,-5.133288610002004,-6.232436021132381,-5.646766934746147,-1000,-4.890093964684092,-1000,-1000,-5.308859078793267,-6.904324266881131,-2.863076457094415,-5.347246800156799,-3.1740596812778867,-4.1054220010513784,-0.8003408798064702,-6.4586124662267395,-1000,-8.87833888236679,-5.80153695975483,-2.433150981492501,-5.052385733887038,-4.530873456073217,-5.412765929632785,-2.111158494472746
-4.233800768300298,-4.456677385855152,-8.47615871798945,-5.070101370953191,-5.23740731934729,-3.930734490625698,-9.186566887687416,-4.991705260842969,-2.8543874653911443,-3.619149692959424,-1000,-2.8451082425085588,-6.590871074820402,-3.1320645038017143,-3.4305567622428472,-5.537866555220179,-2.747781101406728,-3.522368540827544,-3.8921283939737523,-6.316736975617897,-2.4923872761797776,-1000,-2.9466359319469997,-4.259830947806591,-6.526378775037063,-3.2905466666448837,-4.829119453072864,-5.792360748771528,-7.785891972094854,-4.397383094565312,-5.102719588785971,-1000,-9.077230881295582,-4.349415408210607,-3.9206900043238155,-7.118745736683188,-8.992260485007181,-1000,-6.299195988163231,-1000,-6.152766446888741,-12.04620861061255,-6.1140953379764635,-5.997772818422228,-6.532533683305965,-4.028014072047085,-5.540531707095856,-6.000793580881104,-4.5273666937195305,-4.5965249153814725,-4.419891621075494,-1000,-5.7842201720673625,-5.881737831202044,-5.308210900527644,-5.227827809089597,-6.543550690838736,-1000,-4.929754971599858,-5.321375423647826,-4.61798136391076,-5.076322062535223,-4.754554802538126,-5.351679452823899,-4.702434970411417,-5.0446859782739475,-4.041604243492037,-1000,-5.933985197307802,-4.571553017609345,-1000,-5.6628203066527165,-6.339605928667521,-5.92037356227369,-5.263310301097949,-4.721446207541018,-1000,-5.32927134090688,-1000,-1000,-6.21082639680897,-4.092585738083507,-4.924993913318444,-4.816551299283959,-5.06251378773741,-4.049736774017536,-1000,-4.886220001969876,-1000,-4.575639767600641,-4.398174744628994,-5.060871536941454,-4.143144880835225,-4.893336703021571,-4.261319614692254,-4.3372727541532745
-10.00659961318281,-9.854109793936694,-9.489703767516355,-9.595973925937148,-3.8470589773046737,-4.67501941630519,-5.9083078278902095,-4.101902996469611,-8.987477377507336,-9.268378572988286,-1000,-8.551927210758928,-12.425778386295926,-9.340875329002468,-9.71243726203522,-10.9641507247992,-8.452885260790582,-10.623281675504586,-10.663244672476107,-14.100034929038172,-1000,-1000,-6.867261375733405,-9.508792823880484,-6.539135712099359,-2.9855927711735997,-5.318423732988353,-7.226792899904235,-8.0931265843532,-6.528960585797655,-4.410077061366219,-1000,-6.201881767028161,-5.195558807469003,-7.423342566780407,-5.0225633133807195,-6.083455781391717,-1000,-5.829067143816506,-0.7027495052201082,-2.4861341101418413,-3.049037509808233,-1.471666544802676,-8.717610971495139,-9.407888219769948,-9.945816597227951,-11.843934033116854,-9.442882467748262,-14.136484380881821,-11.857883667182112,-15.797696127992168,-1000,-12.995310772840599,-9.561167885371992,-16.97142738117607,-17.95963162802387,-10.562202538853217,-1000,-10.234880940589768,-11.971543292620733,-15.976876367452856,-9.42349826328101,-13.572903047668373,-12.273926928939733,-9.967432206872065,-16.335924539503385,-18.919451079816334,-1000,-14.268281356811354,-15.555030624003951,-1000,-9.536279108800658,-11.503562430622855,-8.860371305783355,-11.188325499274116,-11.721119260325041,-1000,-12.15295680760778,-1000,-1000,-13.694092208979647,-17.345463654668414,-11.03382438127036,-17.91436068223227,-19.091928964389012,-19.817952801557368,-1000,-19.98574812457785,-1000,-9.997328462923582,-23.309524752612575,-19.117810563329197,-11.42342453794694,-14.784543191339498,-16.35202867313478,-11.649441789378313
-9.752431590271055,-8.162034584062958,-10.21432491531481,-6.356178489999342,-9.34121581367302,-8.486812792500544,-11.45171537579424,-5.579076297747263,-6.931633432497381,-7.936996879438886,-1000,-6.434954718361067,-11.470406838917423,-13.731006463018916,-12.994373910178023,-11.528507253168964,-14.311812901932154,-7.7135069781242755,-7.011590795430898,-10.375619191022949,-1000,-1000,-11.723786452472044,-7.404069995644101,-12.384848844566141,-9.46344550376127,-4.83216316107599,-5.342208635327535,-5.123544796123752,-5.457360501871979,-6.86219286180232,-1000,-5.855448875830928,-6.426553124879141,-6.818880192418309,-4.825509896073931,-3.836457460938781,-1000,-4.481874593279907,-1000,-6.64198606304091,-7.854032227235979,-6.506380798800871,-4.962092538598238,-5.681203134342507,-5.444093034842681,-9.550547119122339,-3.659554345945022,-8.103400150913885,-6.707312094525132,-7.726302670973242,-1000,-7.0258491792164834,-5.902922411644606,-6.5779285881030845,-5.975245342870802,-5.930171431657471,-1000,-7.3092145048348165,-8.24615796039066,-4.608195804287733,-2.76165336100248,-3.8151910625931955,-2.7798449851194276,-3.899797392356543,-3.000730164225422,-3.8632993052234124,-1000,-2.6661305760597513,-3.3749130333304147,-1.9474067032023439,-3.4680403839581793,-2.7269533567111317,-2.6905734196946347,-2.7035397909531222,-3.2548285429785935,-1000,-2.7443775713417113,-1000,-1000,-6.461584880512019,-7.188761701689865,-6.52758164544117,-6.926051762603341,-5.156098864831904,-4.7645501733746585,-1000,-8.363766334092304,-1000,-6.984645571154807,-7.876140304777953,-5.964409075100885,-10.253692664650814,-7.959822460271941,-5.737335542788969,-5.157662777411443
-2.790761260206265,-3.384419333845481,-4.774273976333152,-3.1508658197866803,-2.6362177858220033,-2.940373764612594,-4.423713431600855,-2.1854905630673502,-6.37888256945315,-5.153000121444077,-1000,-6.442424470497739,-5.129489528586211,-7.105277280306434,-5.949386641880901,-6.029776919557743,-6.197784221087179,-7.478576844739306,-6.077725636902726,-8.135979187296897,-1000,-1000,-6.356135252866232,-3.68161869635917,-6.619755505811622,-6.13523216784967,-4.573655759906769,-4.863785554581409,-3.8603828681414907,-4.401470932819388,-3.9054385822725086,-1000,-4.255921532663235,-3.701737347415782,-3.158512660599702,-5.657510651283956,-6.613271692341107,-1000,-4.9701503838003545,-1000,-3.7537702300644447,-4.960081686065849,-3.7528127128870437,-4.565613419772191,-4.479881490154193,-4.952366635855915,-4.295643422236287,-4.0046549657666155,-6.442431374275711,-5.345507885526178,-5.739817695273768,-1000,-5.99475062443285,-5.408812748429594,-5.52176965245402,-5.765040535844954,-5.258552036428591,-1000,-5.041552938344024,-5.530351461571323,-4.703218460920448,-4.240339132224758,-5.489398470895272,-5.074358239488447,-3.97291380983234,-6.313267856530809,-6.889071674551911,-1000,-6.965725582926014,-5.873471771272474,-1000,-5.825503046418171,-6.331639647014496,-4.971126168075543,-5.623275114524493,-5.571687013781584,-1000,-5.145253407522833,-2.2899525059605645,-1000,-6.0830161383353945,-7.373171381189085,-5.754387472744636,-7.113383005683286,-7.05833210992326,-8.01619957043837,-1000,-8.238777750024447,-1000,-3.811593210272937,-9.936972880570089,-7.196814796442203,-6.4080860540524744,-6.025028194537181,-6.350049482673802,-4.939959286420203
-7.306600673289323,-6.249553214569867,-9.81425317449057,-3.744670856015688,-7.035564937132848,-6.208803598586854,-11.252289776332017,-3.84708499823349,-5.324462511090489,-6.9783855332232445,-1000,-5.151177511664212,-10.049070652683216,-9.91106756378271,-9.466856861284382,-11.022316378246561,-9.598471569335736,-6.60733272669682,-6.591783771008476,-9.760377233150713,-1000,-1000,-8.881466475213765,-4.443394581813799,-10.394125539669096,-7.144397712329927,-2.7643238190661057,-4.4711362080766115,-6.267782456651583,-3.3122912544700607,-5.635672544259461,-1000,-7.554197848247807,-4.504534124172966,-3.1629021726229425,-3.1644246680692993,-3.3063364909162867,-1000,-2.9986422139357,-1000,-6.923291141310764,-10.234885188483624,-6.447701204561876,-5.530330134676204,-6.381148238623897,-2.488164445482653,-7.485906862931814,-3.794042081719684,-6.294097680829049,-5.133500445325346,-6.2506238382064305,-1000,-5.653977946556147,-5.839679926825061,-6.232300507045602,-5.087031925709195,-4.509424538811194,-1000,-6.1951299446476416,-6.137291317688744,-3.912661968467392,-4.994057998393089,-5.418758874787808,-4.308466901173484,-6.107970084654366,-4.811593400683659,-4.747776467485497,-1.111578950846184,-4.2878160208363685,-4.708261332037451,-1000,-6.172937113233091,-5.1219539269236405,-5.658392483354192,-4.94500583102143,-4.981773743614295,-1000,-5.032862103679302,-1000,-1000,-8.364524726026627,-6.902994306450417,-6.878030494834912,-7.640060616378033,-6.144450313195078,-5.677783830233682,-1000,-8.601657517483039,-1000,-5.584356999896072,-7.938906622427777,-5.878624120868272,-9.285736397619754,-7.948208674115638,-6.012115178471993,-5.65885521296074
-4.749304432272368,-4.42356068285438,-5.487351842174227,-5.874480782351838,-5.144264653637753,-4.27252477016704,-5.681539928166117,-4.789693623885899,-6.850305831871176,-5.777157225956517,-1000,-7.015921513061367,-6.15750574258195,-8.650465845522454,-6.323908851565749,-6.945919916545174,-7.606686779491604,-8.117767753002607,-6.371034345994499,-8.807601817762153,-1000,-1000,-7.359079235804516,-5.52776065910836,-7.716409344937632,-6.783936768886588,-3.12065878172749,-2.7935221421702927,-3.7098337446498184,-3.8122381161223067,-2.3677683134030505,-1.6799474648995172,-3.6354640410174364,-2.7728483568683737,-5.566488685868909,-3.8683170634529565,-4.083413230229975,-1000,-4.1149672053616415,-1000,-2.187806490369682,-4.296275626158202,-3.374026184279622,-4.792667068437925,-4.349110122166794,-6.175566002538227,-4.641680532538247,-4.926491884478164,-8.122657084168667,-6.314506445740399,-6.756242924049474,-1000,-6.7125254902472475,-5.6403891415956044,-6.118088747773877,-6.906577296716888,-6.880393732203368,-1000,-5.540323337090767,-6.535380271384695,-5.886138375952032,-3.797906723569801,-5.341397779355701,-4.871601507727977,-3.9428413463488705,-5.78260335070677,-6.948703237165977,-1000,-6.562570286028677,-5.961294719317781,-1000,-5.54020682276672,-6.224830870394981,-4.788790415992096,-4.9871463577424135,-5.745844302948601,-1000,-5.011461765581761,-1000,-1000,-6.163474885250564,-8.409875024604945,-5.504115936835327,-7.232795094511327,-6.645426372037849,-8.576688940974893,-1000,-9.695807845394592,-1000,-4.7357764922384344,-11.455890076538862,-8.094945490703608,-6.516257330014532,-6.438385238504137,-6.9270236231667734,-4.885151722180029
-4.63357192949835,-4.531193078444089,-5.712123016497385,-5.151813140153301,-4.566537290560215,-4.52945351601754,-5.823598986174695,-3.642029694140641,-6.080943341970526,-5.583208745564506,-1000,-5.993894018238545,-6.4138185374623875,-8.320661643176038,-7.204642975971136,-6.60241637122156,-7.6722571383804326,-7.4961383446968775,-5.920374602342865,-8.263894120939787,-1000,-1000,-7.3472997635405415,-5.2082137431055004,-7.035255620019525,-6.352987605568787,-4.422721905448056,-4.668675662984009,-3.898415322453487,-4.302468092939902,-4.314224491956895,-1000,-4.532462314395688,-3.988081569036819,-4.771572549376123,-5.727143529841888,-6.485638853328577,-1000,-4.9201605407141065,-1000,-4.0442061478103595,-5.19915457012972,-3.9341590225943195,-4.00341113711902,-4.598408491640438,-5.804568611375942,-4.704010450604871,-3.337103818947774,-6.704206694794233,-5.812509229654639,-6.0836337790380055,-1000,-5.707516342046568,-5.60638544524117,-5.682217076946223,-6.251842403154988,-5.634773642951605,-0.9311270803599985,-5.376168002560169,-5.517175209368211,-4.223904803933639,-3.357280031527249,-4.869875518289462,-4.154394657532454,-3.5245193048865477,-5.366114474188217,-6.227839895035061,-1000,-5.806425406885726,-4.8802038191034605,-1000,-5.055332072545173,-5.5098908158789115,-4.637944229113828,-4.496769764117223,-4.456208643187119,-1000,-4.023531544163046,-1000,-1000,-5.458045572021926,-7.372976882018236,-4.928653721689816,-5.9467578414932145,-6.408140756410617,-6.933260656574193,-1000,-7.832651636262825,-1000,-5.108447478491091,-9.426106603327948,-6.7530093234419075,-5.847978260816539,-6.065195121239389,-5.229163009927668,-4.083627291627095
